account_id,company_size,industry,region,plan_type,signup_date,monthly_revenue
A00099,small_business,media,North America,team,2025-09-05,120
A00100,mid_market,education,Asia,team,2025-05-15,180
A00101,solo,tech_startup,Europe,pro,2024-04-24,36
A00102,solo,tech_startup,North America,free,2024-11-10,0
A00103,mid_market,ecommerce,North America,team,2024-09-02,180
A00104,mid_market,real_estate,Europe,team,2024-09-03,180
A00105,solo,marketing_agency,Europe,pro,2024-03-28,48
A00106,small_business,media,North America,pro,2024-03-11,24
A00107,solo,real_estate,North America,pro,2024-05-11,48
A00108,small_business,ecommerce,North America,team,2025-07-16,90
A00109,small_business,ecommerce,North America,pro,2024-09-28,48
A00110,solo,tech_startup,Asia,free,2024-08-04,0
A00111,solo,tech_startup,North America,free,2025-07-06,0
A00112,mid_market,tech_startup,Latin America,team,2026-02-12,240
A00113,small_business,ecommerce,Asia,pro,2025-12-31,36
A00114,small_business,tech_startup,North America,pro,2025-02-12,36
A00115,solo,education,North America,free,2025-03-24,0
A00116,solo,real_estate,Asia,pro,2025-06-13,48
A00117,mid_market,marketing_agency,North America,team,2024-05-03,240
A00118,solo,tech_startup,North America,pro,2024-08-18,12
A00119,solo,tech_startup,Europe,pro,2024-12-12,12
A00120,solo,real_estate,Latin America,free,2025-08-25,0
A00121,small_business,media,Europe,pro,2025-07-21,24
A00122,small_business,tech_startup,North America,pro,2025-08-25,24
A00123,mid_market,tech_startup,Europe,team,2024-01-08,180
A00124,solo,ecommerce,Europe,free,2025-12-25,0
A00125,small_business,ecommerce,Latin America,team,2025-10-08,60
A00126,small_business,education,North America,team,2024-08-22,60
A00127,small_business,ecommerce,Latin America,team,2024-02-02,120
A00128,mid_market,media,Europe,team,2024-03-13,240
A00129,mid_market,tech_startup,North America,pro,2024-10-12,48
A00130,small_business,tech_startup,Latin America,free,2024-08-07,0
A00131,small_business,marketing_agency,Latin America,team,2025-07-06,90
A00132,mid_market,education,North America,team,2026-01-10,450
A00133,solo,tech_startup,Asia,pro,2024-09-05,48
A00134,mid_market,real_estate,Asia,team,2025-02-20,240
A00135,mid_market,marketing_agency,Europe,pro,2024-04-06,12
A00136,mid_market,real_estate,North America,team,2025-11-05,450
A00137,small_business,marketing_agency,North America,pro,2024-12-28,48
A00138,small_business,media,Europe,team,2025-02-24,150
A00139,small_business,real_estate,Asia,pro,2026-01-16,12
A00140,solo,ecommerce,Asia,pro,2025-11-20,12
A00141,small_business,ecommerce,North America,free,2024-03-03,0
A00142,small_business,real_estate,North America,pro,2025-02-16,36
A00143,mid_market,marketing_agency,Europe,team,2024-04-21,240
A00144,small_business,real_estate,Asia,team,2024-07-15,90
A00145,solo,tech_startup,Europe,free,2025-07-03,0
A00146,small_business,tech_startup,Europe,pro,2025-04-04,24
A00147,small_business,marketing_agency,North America,free,2025-03-08,0
A00148,solo,ecommerce,North America,pro,2024-07-06,36
A00149,solo,marketing_agency,Asia,free,2025-04-18,0
A00150,small_business,ecommerce,North America,free,2024-09-12,0
A00151,solo,marketing_agency,North America,free,2024-03-18,0
A00152,solo,education,North America,free,2025-03-29,0
A00153,small_business,media,North America,team,2025-07-17,60
A00154,small_business,ecommerce,Asia,team,2024-02-21,60
A00155,solo,marketing_agency,Asia,pro,2024-04-05,24
A00156,solo,ecommerce,North America,free,2024-06-19,0
A00157,small_business,marketing_agency,Europe,pro,2025-02-20,48
A00158,solo,marketing_agency,Asia,pro,2025-05-07,24
A00159,small_business,education,North America,pro,2025-02-14,12
A00160,small_business,marketing_agency,North America,pro,2024-06-17,48
A00161,solo,marketing_agency,North America,free,2024-01-03,0
A00162,solo,tech_startup,Europe,pro,2025-02-03,36
A00163,small_business,education,North America,pro,2025-04-10,36
A00164,small_business,media,North America,free,2025-03-09,0
A00165,solo,marketing_agency,Europe,pro,2025-12-14,48
A00166,small_business,tech_startup,Europe,pro,2024-06-07,24
A00167,solo,ecommerce,North America,free,2024-10-30,0
A00168,solo,marketing_agency,North America,pro,2024-08-10,12
A00169,solo,education,North America,pro,2025-08-16,12
A00170,solo,marketing_agency,Latin America,pro,2026-02-04,36
A00171,mid_market,marketing_agency,North America,team,2024-02-28,180
A00172,mid_market,real_estate,Europe,team,2025-08-21,450
A00173,small_business,ecommerce,North America,pro,2025-05-29,24
A00174,small_business,marketing_agency,North America,pro,2024-02-28,12
A00175,solo,real_estate,North America,free,2024-07-09,0
A00176,small_business,ecommerce,North America,free,2024-03-11,0
A00177,solo,tech_startup,North America,pro,2025-09-01,12
A00178,solo,media,Asia,pro,2025-11-22,24
A00179,small_business,marketing_agency,North America,team,2025-02-17,60
A00180,mid_market,tech_startup,North America,team,2025-08-06,240
A00181,mid_market,ecommerce,North America,team,2025-08-15,180
A00182,small_business,tech_startup,North America,team,2025-09-26,60
A00183,solo,ecommerce,North America,pro,2025-03-05,36
A00184,small_business,education,North America,team,2024-09-24,90
A00185,small_business,tech_startup,North America,pro,2025-11-16,36
A00186,small_business,marketing_agency,Asia,pro,2024-09-01,36
A00187,solo,tech_startup,North America,free,2025-02-09,0
A00188,mid_market,real_estate,North America,team,2024-05-14,300
A00189,small_business,marketing_agency,North America,team,2025-04-13,120
A00190,small_business,education,Asia,team,2026-02-08,60
A00191,solo,marketing_agency,North America,pro,2024-01-10,48
A00192,solo,real_estate,Asia,pro,2025-09-28,12
A00193,solo,tech_startup,North America,pro,2024-03-16,24
A00194,solo,marketing_agency,Asia,free,2025-06-02,0
A00195,solo,media,Asia,pro,2024-09-28,24
A00196,small_business,real_estate,North America,pro,2024-12-23,12
A00197,solo,tech_startup,Europe,free,2024-09-07,0
A00198,small_business,tech_startup,North America,pro,2025-01-13,36
A00199,small_business,real_estate,North America,team,2024-06-10,150
A00200,mid_market,real_estate,Europe,team,2025-07-10,300
A00201,small_business,ecommerce,Europe,pro,2025-09-18,12
A00202,small_business,media,Latin America,team,2025-11-14,120
A00203,small_business,ecommerce,Latin America,team,2025-11-10,60
A00204,solo,tech_startup,Asia,free,2024-05-17,0
A00205,small_business,marketing_agency,North America,pro,2024-09-27,12
A00206,mid_market,ecommerce,North America,team,2024-04-19,240
A00207,small_business,tech_startup,North America,pro,2024-10-05,36
A00208,small_business,education,North America,pro,2025-09-11,24
A00209,solo,ecommerce,Europe,free,2026-01-04,0
A00210,mid_market,marketing_agency,Europe,team,2024-12-17,240
A00211,solo,media,North America,pro,2025-12-04,36
A00212,solo,marketing_agency,North America,pro,2025-06-01,48
A00213,small_business,real_estate,North America,pro,2024-09-14,12
A00214,solo,tech_startup,North America,free,2024-04-04,0
A00215,solo,education,Europe,free,2025-10-11,0
A00216,small_business,education,Europe,pro,2025-03-09,36
A00217,small_business,real_estate,North America,free,2024-02-15,0
A00218,mid_market,tech_startup,North America,team,2024-01-04,300
A00219,small_business,marketing_agency,North America,free,2026-02-28,0
A00220,small_business,real_estate,North America,pro,2024-05-13,36
A00221,solo,media,North America,free,2024-06-14,0
A00222,small_business,ecommerce,Europe,pro,2026-01-29,48
A00223,solo,marketing_agency,Asia,pro,2025-07-18,48
A00224,mid_market,marketing_agency,Europe,pro,2025-07-28,12
A00225,solo,tech_startup,North America,free,2024-04-24,0
A00226,solo,ecommerce,North America,pro,2024-03-18,24
A00227,small_business,tech_startup,Asia,pro,2025-07-12,12
A00228,solo,marketing_agency,Europe,free,2025-01-13,0
A00229,small_business,marketing_agency,Europe,pro,2025-08-19,24
A00230,solo,tech_startup,Asia,free,2025-03-16,0
A00231,mid_market,education,Asia,team,2024-05-10,180
A00232,small_business,ecommerce,North America,pro,2024-11-11,36
A00233,small_business,marketing_agency,North America,team,2024-02-10,120
A00234,mid_market,education,North America,team,2024-08-03,240
A00235,solo,tech_startup,North America,pro,2025-11-13,12
A00236,solo,real_estate,Europe,pro,2024-12-28,48
A00237,solo,ecommerce,North America,pro,2025-09-27,24
A00238,mid_market,real_estate,Europe,team,2024-08-30,240
A00239,solo,tech_startup,North America,free,2024-06-30,0
A00240,small_business,ecommerce,North America,pro,2025-02-26,12
A00241,solo,real_estate,North America,free,2024-07-02,0
A00242,solo,marketing_agency,Asia,free,2026-01-24,0
A00243,small_business,education,Europe,team,2024-12-06,150
A00244,small_business,ecommerce,North America,pro,2025-11-16,24
A00245,small_business,ecommerce,Europe,pro,2024-09-30,24
A00246,solo,media,North America,free,2025-12-19,0
A00247,small_business,education,Europe,pro,2024-04-20,48
A00248,solo,tech_startup,Asia,pro,2024-02-09,48
A00249,solo,real_estate,North America,free,2024-08-15,0
A00250,mid_market,ecommerce,Latin America,team,2024-07-23,450
A00251,solo,real_estate,Asia,pro,2024-12-24,36
A00252,mid_market,real_estate,Europe,team,2024-08-21,240
A00253,solo,education,North America,pro,2024-01-25,24
A00254,mid_market,ecommerce,Asia,team,2025-02-12,300
A00255,solo,real_estate,Latin America,free,2024-10-12,0
A00256,small_business,marketing_agency,Latin America,team,2024-03-12,120
A00257,mid_market,education,Asia,team,2024-12-25,450
A00258,solo,tech_startup,North America,pro,2025-11-26,36
A00259,solo,ecommerce,North America,pro,2024-01-29,12
A00260,solo,media,North America,free,2024-09-24,0
A00261,small_business,media,North America,pro,2024-07-01,36
A00262,mid_market,real_estate,North America,pro,2024-02-09,12
A00263,mid_market,ecommerce,Asia,team,2025-09-02,450
A00264,mid_market,media,Latin America,team,2024-12-19,300
A00265,small_business,marketing_agency,Europe,pro,2025-03-22,12
A00266,mid_market,tech_startup,Asia,team,2025-01-29,240
A00267,small_business,media,North America,free,2024-09-17,0
A00268,small_business,marketing_agency,North America,pro,2024-02-15,48
A00269,solo,ecommerce,Latin America,free,2024-01-02,0
A00270,small_business,media,North America,team,2025-06-16,90
A00271,small_business,ecommerce,North America,team,2025-01-07,150
A00272,mid_market,education,Europe,pro,2024-03-12,36
A00273,mid_market,marketing_agency,Latin America,team,2025-09-30,300
A00274,small_business,education,North America,free,2025-11-10,0
A00275,solo,ecommerce,Asia,free,2024-05-07,0
A00276,solo,tech_startup,Asia,pro,2026-01-07,36
A00277,mid_market,ecommerce,North America,team,2025-06-03,300
A00278,small_business,ecommerce,Asia,pro,2025-11-13,48
A00279,solo,education,Europe,pro,2024-11-30,48
A00280,solo,tech_startup,North America,free,2025-12-14,0
A00281,mid_market,tech_startup,Asia,team,2024-10-29,240
A00282,small_business,real_estate,North America,pro,2024-07-15,48
A00283,small_business,marketing_agency,Asia,pro,2025-11-11,48
A00284,solo,marketing_agency,Europe,free,2025-11-24,0
A00285,mid_market,education,Europe,team,2026-02-05,240
A00286,mid_market,marketing_agency,Europe,team,2025-09-22,300
A00287,solo,tech_startup,Asia,pro,2025-02-19,12
A00288,mid_market,tech_startup,Asia,team,2024-11-07,300
A00289,small_business,media,Europe,team,2024-08-03,150
A00290,solo,tech_startup,Asia,free,2025-08-16,0
A00291,mid_market,ecommerce,North America,team,2025-09-13,300
A00292,solo,tech_startup,Asia,free,2025-04-21,0
A00293,solo,marketing_agency,Europe,pro,2025-03-28,48
A00294,small_business,marketing_agency,Europe,pro,2025-11-22,24
A00295,small_business,ecommerce,Asia,pro,2025-06-07,48
A00296,mid_market,marketing_agency,Europe,team,2026-01-23,240
A00297,solo,tech_startup,Europe,free,2025-11-05,0
A00298,solo,media,North America,pro,2024-03-27,36
A00299,solo,real_estate,North America,pro,2025-06-11,36
A00300,mid_market,tech_startup,Asia,pro,2024-04-05,24
A00301,small_business,ecommerce,North America,pro,2025-11-19,36
A00302,small_business,media,Europe,pro,2024-08-18,24
A00303,solo,tech_startup,North America,free,2024-05-30,0
A00304,solo,media,Europe,free,2024-01-26,0
A00305,solo,media,Europe,free,2024-02-17,0
A00306,mid_market,ecommerce,North America,team,2024-09-07,450
A00307,small_business,real_estate,North America,pro,2025-09-17,12
A00308,mid_market,marketing_agency,Asia,pro,2025-04-11,48
A00309,solo,ecommerce,Europe,free,2025-10-06,0
A00310,mid_market,education,Latin America,pro,2025-08-12,24
A00311,mid_market,media,Asia,team,2026-01-05,450
A00312,small_business,real_estate,North America,free,2025-05-21,0
A00313,mid_market,real_estate,Asia,team,2025-02-13,240
A00314,solo,ecommerce,Europe,free,2024-05-31,0
A00315,solo,education,North America,pro,2025-11-02,12
A00316,solo,media,North America,free,2026-02-07,0
A00317,solo,ecommerce,North America,free,2026-02-27,0
A00318,small_business,marketing_agency,Europe,team,2024-04-19,150
A00319,small_business,ecommerce,Europe,free,2024-08-12,0
A00320,solo,tech_startup,North America,free,2024-06-29,0
A00321,small_business,media,Europe,free,2025-12-13,0
A00322,solo,education,North America,free,2025-06-14,0
A00323,solo,ecommerce,North America,free,2025-04-20,0
A00324,small_business,media,Asia,pro,2024-02-21,24
A00325,solo,ecommerce,Europe,pro,2024-05-04,48
A00326,solo,tech_startup,North America,free,2024-05-16,0
A00327,small_business,tech_startup,Asia,team,2025-04-20,120
A00328,solo,tech_startup,North America,pro,2026-02-12,48
A00329,small_business,tech_startup,Europe,pro,2025-09-19,48
A00330,small_business,media,North America,free,2025-07-15,0
A00331,solo,ecommerce,Asia,free,2025-04-01,0
A00332,mid_market,marketing_agency,North America,team,2024-06-11,450
A00333,small_business,education,Europe,pro,2025-04-05,36
A00334,solo,tech_startup,Latin America,pro,2026-02-08,24
A00335,solo,media,North America,free,2025-10-14,0
A00336,solo,education,Asia,pro,2024-10-10,48
A00337,small_business,education,North America,pro,2025-10-03,24
A00338,mid_market,ecommerce,Asia,team,2024-10-08,450
A00339,small_business,media,Europe,team,2024-03-20,120
A00340,mid_market,education,North America,team,2024-08-28,300
A00341,mid_market,ecommerce,Europe,team,2024-12-09,300
A00342,small_business,ecommerce,Asia,team,2025-07-07,60
A00343,solo,marketing_agency,Latin America,free,2024-05-21,0
A00344,mid_market,education,North America,team,2024-06-03,240
A00345,small_business,education,North America,pro,2025-01-27,24
A00346,solo,marketing_agency,Latin America,free,2025-12-24,0
A00347,small_business,marketing_agency,Asia,free,2024-08-07,0
A00348,mid_market,education,North America,pro,2024-03-06,48
A00349,solo,education,North America,pro,2025-02-21,36
A00350,small_business,marketing_agency,Europe,pro,2025-07-09,48
A00351,solo,ecommerce,North America,pro,2025-03-01,12
A00352,small_business,education,Asia,team,2024-07-30,150
A00353,small_business,tech_startup,North America,free,2025-02-02,0
A00354,solo,ecommerce,Europe,pro,2026-02-27,12
A00355,solo,ecommerce,Europe,pro,2026-02-22,48
A00356,solo,education,North America,free,2025-05-03,0
A00357,mid_market,tech_startup,North America,team,2024-01-07,300
A00358,small_business,tech_startup,Europe,pro,2024-11-01,48
A00359,small_business,media,North America,free,2025-03-05,0
A00360,solo,media,North America,pro,2025-07-05,24
A00361,mid_market,ecommerce,Europe,team,2025-05-14,240
A00362,mid_market,ecommerce,Europe,team,2024-10-06,450
A00363,mid_market,media,Europe,team,2025-05-12,180
A00364,mid_market,real_estate,North America,team,2025-02-02,300
A00365,small_business,media,North America,pro,2025-11-15,48
A00366,small_business,real_estate,North America,pro,2026-01-11,24
A00367,mid_market,ecommerce,Latin America,team,2025-04-23,240
A00368,mid_market,media,Europe,team,2025-09-29,180
A00369,mid_market,marketing_agency,North America,team,2025-02-07,180
A00370,mid_market,media,Asia,team,2024-03-26,450
A00371,mid_market,ecommerce,Europe,pro,2024-05-18,48
A00372,solo,marketing_agency,North America,pro,2024-07-05,12
A00373,small_business,education,North America,pro,2024-09-23,48
A00374,solo,ecommerce,Europe,pro,2024-12-01,24
A00375,small_business,education,North America,team,2025-04-10,120
A00376,small_business,education,North America,pro,2024-12-11,48
A00377,small_business,marketing_agency,Europe,pro,2024-10-11,48
A00378,small_business,media,Asia,pro,2024-09-15,12
A00379,mid_market,ecommerce,North America,pro,2025-04-26,12
A00380,small_business,tech_startup,North America,team,2026-02-06,60
A00381,solo,tech_startup,North America,free,2024-12-24,0
A00382,small_business,marketing_agency,North America,pro,2024-08-17,12
A00383,mid_market,education,North America,team,2026-03-10,180
A00384,small_business,marketing_agency,North America,free,2026-02-11,0
A00385,solo,media,North America,free,2024-02-01,0
A00386,small_business,ecommerce,Europe,pro,2024-09-10,24
A00387,mid_market,education,Asia,team,2024-01-21,240
A00388,solo,real_estate,Latin America,pro,2024-09-01,24
A00389,mid_market,tech_startup,North America,pro,2025-04-29,12
A00390,small_business,marketing_agency,Asia,team,2025-07-31,90
A00391,small_business,marketing_agency,Asia,pro,2025-04-21,36
A00392,mid_market,education,Europe,pro,2026-02-24,36
A00393,small_business,education,Europe,free,2024-06-20,0
A00394,small_business,tech_startup,North America,free,2025-09-12,0
A00395,solo,real_estate,Europe,free,2025-09-13,0
A00396,solo,marketing_agency,Europe,free,2026-02-04,0
A00397,mid_market,ecommerce,Europe,team,2026-01-05,180
A00398,small_business,media,Europe,team,2026-03-07,90
A00399,solo,ecommerce,Asia,pro,2024-11-14,12
A00400,solo,ecommerce,North America,pro,2025-08-15,12
A00401,solo,marketing_agency,North America,free,2024-11-15,0
A00402,solo,education,North America,pro,2025-08-12,48
A00403,solo,real_estate,Asia,pro,2025-02-10,24
A00404,small_business,marketing_agency,North America,pro,2024-03-18,24
A00405,mid_market,media,Europe,team,2024-04-14,300
A00406,small_business,ecommerce,Europe,team,2025-12-01,60
A00407,solo,media,North America,free,2025-08-02,0
A00408,solo,education,Asia,free,2026-03-12,0
A00409,small_business,media,Latin America,pro,2024-02-12,36
A00410,small_business,ecommerce,Latin America,team,2025-06-29,150
A00411,small_business,tech_startup,Europe,pro,2025-11-08,36
A00412,solo,media,North America,pro,2024-03-11,36
A00413,small_business,media,North America,pro,2024-01-13,48
A00414,solo,marketing_agency,North America,pro,2025-05-16,12
A00415,small_business,marketing_agency,North America,pro,2025-03-19,36
A00416,small_business,education,Latin America,pro,2025-10-12,48
A00417,mid_market,tech_startup,North America,team,2025-12-25,240
A00418,solo,tech_startup,North America,pro,2025-03-21,24
A00419,mid_market,tech_startup,Asia,team,2026-01-21,300
A00420,solo,marketing_agency,North America,pro,2025-09-22,48
A00421,solo,tech_startup,Europe,pro,2025-04-21,48
A00422,solo,tech_startup,Latin America,free,2026-01-18,0
A00423,small_business,media,North America,pro,2025-08-29,36
A00424,small_business,ecommerce,North America,free,2024-11-26,0
A00425,solo,ecommerce,Latin America,free,2024-09-08,0
A00426,mid_market,education,North America,team,2024-03-29,300
A00427,small_business,ecommerce,Europe,pro,2025-04-06,24
A00428,small_business,real_estate,North America,free,2026-02-07,0
A00429,small_business,education,North America,team,2025-04-20,150
A00430,solo,media,Latin America,free,2024-12-10,0
A00431,solo,ecommerce,North America,free,2024-01-30,0
A00432,small_business,ecommerce,Europe,team,2025-05-21,120
A00433,mid_market,real_estate,North America,team,2024-07-05,450
A00434,small_business,education,North America,team,2024-08-05,120
A00435,small_business,ecommerce,North America,pro,2024-09-21,36
A00436,mid_market,media,Asia,pro,2024-10-13,36
A00437,small_business,education,North America,pro,2025-07-23,12
A00438,small_business,ecommerce,Europe,pro,2025-06-13,24
A00439,solo,marketing_agency,Latin America,pro,2024-03-28,24
A00440,mid_market,education,North America,team,2026-01-07,450
A00441,small_business,tech_startup,North America,pro,2025-05-15,24
A00442,solo,marketing_agency,Asia,free,2025-12-08,0
A00443,small_business,marketing_agency,Europe,team,2025-05-02,150
A00444,mid_market,tech_startup,Asia,team,2025-04-03,180
A00445,small_business,education,North America,team,2024-04-05,120
A00446,solo,tech_startup,Europe,pro,2024-08-14,48
A00447,small_business,tech_startup,Europe,pro,2025-12-09,24
A00448,solo,education,North America,pro,2024-11-09,36
A00449,small_business,media,North America,free,2025-04-29,0
A00450,small_business,ecommerce,North America,free,2025-07-20,0
A00451,mid_market,media,North America,team,2025-06-27,300
A00452,solo,media,Europe,free,2025-03-11,0
A00453,solo,ecommerce,Europe,pro,2026-02-02,36
A00454,solo,ecommerce,North America,pro,2024-12-26,48
A00455,solo,media,Europe,free,2024-10-04,0
A00456,solo,ecommerce,Europe,pro,2024-11-09,36
A00457,small_business,education,North America,team,2024-08-24,60
A00458,small_business,marketing_agency,Latin America,pro,2026-01-08,24
A00459,small_business,media,Asia,pro,2024-11-19,12
A00460,solo,marketing_agency,Latin America,free,2026-01-30,0
A00461,small_business,education,North America,pro,2025-07-02,24
A00462,mid_market,marketing_agency,North America,pro,2024-07-15,24
A00463,mid_market,real_estate,North America,team,2026-01-26,450
A00464,mid_market,tech_startup,Latin America,team,2024-10-10,300
A00465,small_business,education,Asia,pro,2024-04-12,24
A00466,small_business,real_estate,North America,pro,2024-10-30,24
A00467,mid_market,tech_startup,North America,pro,2025-01-04,24
A00468,solo,media,Asia,free,2024-11-05,0
A00469,small_business,tech_startup,Asia,pro,2024-01-15,24
A00470,small_business,education,North America,pro,2024-10-07,12
A00471,small_business,tech_startup,Europe,team,2024-02-25,120
A00472,solo,education,North America,free,2025-12-15,0
A00473,small_business,tech_startup,North America,pro,2024-05-09,48
A00474,mid_market,ecommerce,Europe,team,2024-04-15,180
A00475,small_business,ecommerce,North America,team,2025-08-10,120
A00476,small_business,ecommerce,Asia,free,2025-04-25,0
A00477,small_business,ecommerce,Latin America,pro,2025-05-05,48
A00478,solo,ecommerce,North America,pro,2024-12-14,24
A00479,mid_market,marketing_agency,North America,team,2024-02-22,300
A00480,mid_market,real_estate,North America,team,2025-05-04,180
A00481,small_business,ecommerce,Europe,pro,2024-03-07,48
A00482,small_business,ecommerce,Europe,pro,2025-05-18,12
A00483,small_business,ecommerce,Europe,pro,2025-08-13,12
A00484,small_business,real_estate,Europe,team,2024-06-04,90
A00485,solo,tech_startup,Europe,free,2025-07-30,0
A00486,solo,marketing_agency,Asia,pro,2024-11-07,12
A00487,small_business,education,North America,free,2024-09-11,0
A00488,solo,education,North America,free,2024-05-01,0
A00489,small_business,media,Latin America,team,2025-07-25,150
A00490,small_business,education,Europe,team,2025-09-12,90
A00491,solo,marketing_agency,Asia,free,2026-03-05,0
A00492,small_business,real_estate,North America,pro,2025-06-19,48
A00493,solo,ecommerce,North America,pro,2025-04-06,48
A00494,solo,education,North America,pro,2024-10-31,48
A00495,solo,education,Asia,pro,2024-11-08,12
A00496,solo,tech_startup,Europe,free,2025-09-16,0
A00497,solo,ecommerce,Asia,free,2026-01-27,0
A00498,small_business,media,Asia,free,2024-04-11,0
A00499,small_business,ecommerce,Asia,pro,2026-02-20,24
A00500,mid_market,ecommerce,North America,team,2025-10-02,240
