deal_id,account_id,lead_source,created_date,deal_value,discount_pct,competitor_mentioned,stage,close_date,deal_status
D00153,A00042,website,2025-08-16,60,20,Piktochart,proposal,2025-10-06,won
D00154,A01117,referral,2025-03-20,240,10,Adobe Express,demo,2025-04-02,won
D00155,A01721,referral,2025-12-06,480,20,Adobe Express,negotiation,2025-12-21,lost
D00156,A01751,website,2025-08-03,180,20,Figma,demo,2025-08-17,won
D00157,A01531,referral,2026-02-06,120,0,None,demo,2026-04-03,won
D00158,A00529,website,2025-05-15,60,10,Canva,negotiation,2025-06-09,lost
D00159,A01980,outbound,2025-03-24,720,0,None,demo,2025-04-30,lost
D00160,A01289,referral,2025-06-19,1200,0,Piktochart,demo,2025-07-03,lost
D00161,A01650,ads,2026-03-04,180,15,None,negotiation,2026-03-16,won
D00162,A00292,outbound,2026-02-04,60,0,Piktochart,negotiation,2026-03-24,lost
D00163,A00969,website,2025-04-29,120,10,None,proposal,2025-05-12,won
D00164,A01488,referral,2026-02-21,240,10,None,demo,2026-04-12,won
D00165,A01828,website,2025-06-10,240,0,Adobe Express,proposal,2025-06-19,lost
D00166,A01584,referral,2025-01-05,360,10,Adobe Express,demo,2025-02-09,won
D00167,A01843,website,2025-11-15,180,0,Adobe Express,proposal,2025-12-13,won
D00168,A00097,outbound,2025-04-04,720,15,Figma,demo,2025-04-28,lost
D00169,A01911,website,2026-03-04,720,15,Piktochart,proposal,2026-05-01,lost
D00170,A01119,website,2025-03-27,60,0,Canva,demo,2025-04-13,lost
D00171,A01350,outbound,2025-02-23,180,15,None,proposal,2025-04-14,lost
D00172,A00074,referral,2025-08-13,3600,15,Adobe Express,demo,2025-10-02,lost
D00173,A01360,website,2026-03-06,60,15,Adobe Express,negotiation,2026-03-20,lost
D00174,A01092,website,2025-07-30,60,0,None,proposal,2025-08-26,won
D00175,A00758,ads,2025-01-07,360,10,Figma,negotiation,2025-02-27,lost
D00176,A01942,referral,2025-12-25,240,15,Piktochart,negotiation,2026-01-16,lost
D00177,A01101,referral,2025-09-04,180,15,Canva,proposal,2025-11-02,won
D00178,A00208,website,2025-10-13,240,0,Figma,negotiation,2025-10-30,lost
D00179,A01908,ads,2025-09-16,3600,10,Canva,proposal,2025-10-24,won
D00180,A01790,website,2025-06-14,480,10,Adobe Express,demo,2025-07-05,won
D00181,A01245,ads,2025-10-09,120,15,Canva,negotiation,2025-10-21,lost
D00182,A01286,website,2025-08-24,720,0,Adobe Express,proposal,2025-09-28,lost
D00183,A00410,referral,2025-06-11,720,0,Canva,demo,2025-07-14,won
D00184,A00331,website,2025-01-19,180,0,Figma,negotiation,2025-03-17,lost
D00185,A00344,referral,2025-11-06,2400,25,None,negotiation,2025-12-24,lost
D00186,A00989,outbound,2025-12-10,2400,15,Canva,proposal,2026-02-07,lost
D00187,A00771,referral,2025-04-25,480,20,Adobe Express,proposal,2025-06-09,lost
D00188,A01844,website,2025-08-31,180,10,None,negotiation,2025-09-14,lost
D00189,A00074,ads,2025-02-19,1800,0,Canva,negotiation,2025-04-20,won
D00190,A01661,website,2025-11-21,480,0,Canva,proposal,2025-12-08,won
D00191,A01724,website,2025-09-10,3600,0,Adobe Express,demo,2025-09-29,won
D00192,A00254,referral,2025-04-07,3600,10,None,demo,2025-06-03,won
D00193,A00959,website,2025-04-08,2400,0,Adobe Express,negotiation,2025-04-17,lost
D00194,A01857,ads,2025-11-21,240,15,Adobe Express,negotiation,2026-01-04,won
D00195,A00820,website,2025-09-16,3600,0,Canva,demo,2025-09-26,lost
D00196,A01771,website,2025-10-11,180,15,None,proposal,2025-12-06,lost
D00197,A00986,ads,2025-04-01,360,0,None,negotiation,2025-05-20,won
D00198,A01786,ads,2025-11-04,2400,25,Canva,negotiation,2025-12-07,lost
D00199,A00332,ads,2025-11-08,1800,15,None,negotiation,2025-12-06,won
D00200,A01422,website,2025-05-31,60,0,Canva,proposal,2025-07-21,won
D00201,A01369,referral,2026-01-19,120,20,Canva,negotiation,2026-03-12,lost
D00202,A01608,website,2026-01-13,180,0,None,negotiation,2026-02-28,won
D00203,A00747,ads,2026-01-01,480,0,Canva,proposal,2026-02-18,lost
D00204,A00836,referral,2025-04-02,2400,0,None,negotiation,2025-05-14,lost
D00205,A01692,outbound,2025-09-03,720,20,Adobe Express,negotiation,2025-10-07,won
D00206,A00455,outbound,2026-02-18,180,0,None,demo,2026-03-06,won
D00207,A01930,ads,2025-01-28,60,0,Canva,negotiation,2025-03-26,won
D00208,A01139,website,2025-03-24,180,10,None,proposal,2025-04-03,won
D00209,A00313,website,2025-12-20,1800,25,Piktochart,proposal,2026-02-17,won
D00210,A01018,website,2025-08-20,360,20,Adobe Express,demo,2025-09-28,won
D00211,A00228,referral,2026-02-06,120,0,Canva,negotiation,2026-03-09,lost
D00212,A00834,ads,2025-08-02,120,20,Canva,negotiation,2025-09-25,won
D00213,A00858,ads,2025-05-09,3600,10,None,demo,2025-06-30,lost
D00214,A01269,website,2025-12-30,480,20,Figma,negotiation,2026-02-13,lost
D00215,A00818,website,2025-04-11,360,10,Piktochart,negotiation,2025-05-31,won
D00216,A01550,referral,2025-02-08,60,20,Canva,demo,2025-02-17,won
D00217,A01018,referral,2025-08-08,480,0,Figma,proposal,2025-08-31,won
D00218,A00528,ads,2025-01-03,120,0,Canva,proposal,2025-01-30,won
D00219,A00950,referral,2025-11-02,480,15,Canva,demo,2025-12-14,lost
D00220,A00427,ads,2025-07-03,480,20,Canva,demo,2025-07-21,won
D00221,A00042,outbound,2025-09-24,180,0,Canva,demo,2025-11-04,won
D00222,A00465,referral,2025-07-26,480,0,None,demo,2025-09-13,lost
D00223,A01646,outbound,2025-06-19,2400,15,Piktochart,proposal,2025-08-13,won
D00224,A00278,referral,2025-11-13,720,20,None,negotiation,2025-12-31,lost
D00225,A00836,referral,2025-01-05,2400,20,None,demo,2025-02-22,won
D00226,A00019,referral,2025-11-11,60,0,Adobe Express,negotiation,2025-12-08,lost
D00227,A00066,website,2025-07-15,720,10,Adobe Express,demo,2025-08-09,lost
D00228,A00167,website,2025-01-13,120,20,None,negotiation,2025-02-17,lost
D00229,A01609,outbound,2025-09-07,2400,10,None,demo,2025-09-19,won
D00230,A01020,website,2025-02-19,240,0,Canva,demo,2025-04-07,won
D00231,A00403,ads,2026-02-01,180,15,Adobe Express,demo,2026-02-21,lost
D00232,A01936,referral,2025-10-03,720,0,None,negotiation,2025-10-19,lost
D00233,A01846,referral,2025-01-13,480,0,Canva,proposal,2025-01-23,won
D00234,A00409,ads,2025-04-02,240,20,Canva,proposal,2025-04-25,lost
D00235,A00112,ads,2025-07-28,3600,20,Canva,proposal,2025-08-05,lost
D00236,A01298,outbound,2025-07-19,1200,25,Canva,negotiation,2025-09-10,won
D00237,A01431,outbound,2025-11-13,180,20,Canva,demo,2025-11-24,won
D00238,A01397,ads,2025-07-03,240,10,Adobe Express,negotiation,2025-07-29,lost
D00239,A00597,website,2025-11-07,120,15,Figma,demo,2026-01-05,won
D00240,A00651,referral,2025-12-05,720,0,Canva,demo,2025-12-20,won
D00241,A01063,website,2026-01-18,480,0,Adobe Express,proposal,2026-03-16,won
D00242,A00105,website,2026-01-09,120,0,Canva,negotiation,2026-02-20,lost
D00243,A00324,website,2025-03-14,240,0,Figma,demo,2025-04-15,lost
D00244,A01817,referral,2025-10-03,1200,15,Canva,negotiation,2025-11-26,won
D00245,A01983,ads,2026-01-07,360,15,None,proposal,2026-02-15,lost
D00246,A00992,website,2025-03-14,60,0,Canva,demo,2025-04-06,lost
D00247,A01438,ads,2025-04-10,1800,25,Adobe Express,demo,2025-06-04,lost
D00248,A00429,website,2025-10-09,240,10,Adobe Express,proposal,2025-11-01,lost
D00249,A00635,outbound,2025-02-20,720,10,Canva,demo,2025-04-10,won
D00250,A00730,outbound,2025-12-02,240,10,Piktochart,demo,2025-12-21,lost
D00251,A00889,referral,2025-06-12,720,10,None,proposal,2025-07-08,won
D00252,A01085,website,2025-12-22,360,20,Adobe Express,negotiation,2026-02-18,lost
D00253,A01636,referral,2025-06-11,60,0,Adobe Express,proposal,2025-08-07,won
D00254,A01331,website,2025-04-24,180,15,Canva,negotiation,2025-05-24,won
D00255,A01378,website,2025-03-10,180,10,Canva,negotiation,2025-04-15,lost
D00256,A00393,website,2025-08-17,480,15,Piktochart,proposal,2025-09-04,lost
D00257,A00204,website,2025-11-27,60,10,Figma,negotiation,2025-12-12,lost
D00258,A00258,website,2025-10-03,120,0,Canva,demo,2025-10-11,lost
D00259,A00486,website,2026-03-11,180,0,Canva,negotiation,2026-04-24,lost
D00260,A01541,referral,2025-07-27,60,0,Canva,negotiation,2025-09-06,won
D00261,A00446,ads,2025-10-04,180,0,None,proposal,2025-10-25,won
D00262,A01733,referral,2026-01-31,480,0,Piktochart,negotiation,2026-03-11,won
D00263,A01204,website,2025-02-16,120,20,Adobe Express,proposal,2025-03-10,won
D00264,A01024,outbound,2026-03-11,360,20,Canva,negotiation,2026-03-28,won
D00265,A00342,website,2025-04-02,360,15,Canva,negotiation,2025-04-11,lost
D00266,A00133,referral,2025-04-23,60,0,Adobe Express,proposal,2025-05-14,won
D00267,A00443,referral,2025-01-22,360,20,Adobe Express,negotiation,2025-02-21,lost
D00268,A01860,referral,2025-07-18,120,0,Piktochart,proposal,2025-09-04,won
D00269,A00253,website,2025-06-15,180,20,Piktochart,demo,2025-07-09,lost
D00270,A00265,outbound,2026-03-04,480,20,Piktochart,negotiation,2026-03-22,lost
D00271,A00093,outbound,2025-07-12,120,10,Adobe Express,negotiation,2025-09-10,lost
D00272,A01686,website,2025-02-09,120,15,Adobe Express,negotiation,2025-03-02,lost
D00273,A01435,ads,2025-09-22,480,10,Adobe Express,proposal,2025-10-29,lost
D00274,A00138,website,2025-11-06,360,15,Canva,demo,2025-11-17,won
D00275,A01232,ads,2025-09-21,120,0,Canva,negotiation,2025-10-08,won
D00276,A01002,website,2025-07-05,180,0,Canva,negotiation,2025-08-07,lost
D00277,A01661,ads,2026-02-20,240,15,Canva,proposal,2026-03-29,lost
D00278,A01770,referral,2025-04-18,360,15,Figma,negotiation,2025-04-27,won
D00279,A01597,website,2025-03-07,360,0,None,negotiation,2025-03-16,lost
D00280,A00307,referral,2025-10-21,240,0,Adobe Express,demo,2025-11-08,won
D00281,A00266,ads,2025-09-22,1200,15,None,proposal,2025-10-12,lost
D00282,A00646,referral,2025-08-18,120,15,Canva,negotiation,2025-10-17,won
D00283,A00318,ads,2025-07-30,360,20,Adobe Express,negotiation,2025-08-17,lost
D00284,A01137,ads,2025-11-16,480,0,None,negotiation,2025-12-14,lost
D00285,A00901,website,2025-08-21,180,0,None,negotiation,2025-09-21,won
D00286,A01402,website,2025-03-09,60,0,Figma,demo,2025-04-17,lost
D00287,A00454,website,2025-12-17,60,20,None,proposal,2026-01-23,won
D00288,A00191,outbound,2025-11-11,60,20,Figma,negotiation,2025-11-25,lost
D00289,A01915,ads,2025-02-17,360,20,Adobe Express,proposal,2025-02-24,lost
D00290,A01464,referral,2026-02-01,3600,25,None,negotiation,2026-02-10,won
D00291,A01211,outbound,2025-12-24,3600,10,None,negotiation,2026-01-30,lost
D00292,A00831,ads,2026-02-09,480,20,Adobe Express,proposal,2026-04-05,lost
D00293,A01391,referral,2026-03-05,180,0,Canva,negotiation,2026-03-28,won
D00294,A01113,outbound,2025-09-02,60,10,Canva,demo,2025-10-13,lost
D00295,A00187,outbound,2025-07-29,60,0,Canva,proposal,2025-09-24,lost
D00296,A00819,website,2025-01-04,240,20,Canva,negotiation,2025-02-21,won
D00297,A01970,website,2025-04-16,480,15,Figma,negotiation,2025-05-02,won
D00298,A01021,website,2025-08-07,480,10,Canva,negotiation,2025-09-10,lost
D00299,A00132,website,2025-10-17,2400,20,Piktochart,proposal,2025-11-19,lost
D00300,A00872,ads,2025-10-10,720,0,Canva,negotiation,2025-11-21,won
D00301,A00635,outbound,2025-09-05,480,20,Adobe Express,proposal,2025-10-27,won
D00302,A01584,website,2025-07-23,360,0,Figma,negotiation,2025-08-27,lost
D00303,A01824,website,2026-02-05,60,0,Piktochart,negotiation,2026-03-09,won
D00304,A01400,website,2026-02-07,240,0,None,proposal,2026-03-26,won
D00305,A00691,website,2025-01-03,60,15,Adobe Express,demo,2025-02-06,lost
D00306,A00692,ads,2025-02-15,120,0,Canva,demo,2025-04-01,won
D00307,A01123,referral,2025-01-20,720,15,Canva,negotiation,2025-03-01,lost
D00308,A01866,referral,2025-05-27,240,0,Canva,negotiation,2025-07-01,lost
D00309,A01058,website,2025-01-06,480,0,Figma,demo,2025-02-20,won
D00310,A01956,referral,2025-09-19,360,20,Figma,negotiation,2025-09-28,won
D00311,A00582,website,2025-07-04,1200,10,Canva,demo,2025-07-28,won
D00312,A00171,referral,2026-02-04,2400,20,Adobe Express,proposal,2026-02-23,won
D00313,A01390,website,2025-09-23,180,0,Canva,demo,2025-11-04,lost
D00314,A00784,website,2025-05-26,2400,15,Canva,negotiation,2025-06-19,lost
D00315,A01083,website,2025-04-26,60,15,Canva,negotiation,2025-06-08,lost
D00316,A00181,outbound,2025-01-03,1800,20,Adobe Express,proposal,2025-02-14,lost
D00317,A00019,referral,2025-02-07,120,10,Canva,negotiation,2025-04-06,lost
D00318,A01250,website,2025-09-20,180,20,Adobe Express,proposal,2025-10-25,won
D00319,A01497,ads,2025-07-13,120,0,Figma,negotiation,2025-09-07,lost
D00320,A01119,outbound,2025-08-23,120,20,None,negotiation,2025-09-29,lost
D00321,A00881,website,2025-03-01,60,15,Canva,proposal,2025-03-22,lost
D00322,A01321,outbound,2025-12-13,1800,15,Canva,negotiation,2026-01-11,lost
D00323,A01617,referral,2025-09-22,1200,15,Piktochart,negotiation,2025-10-04,won
D00324,A00175,outbound,2025-07-24,180,10,Canva,negotiation,2025-08-11,won
D00325,A01246,referral,2025-09-01,2400,10,Figma,proposal,2025-09-25,lost
D00326,A01639,ads,2025-04-04,360,15,Piktochart,negotiation,2025-04-26,lost
D00327,A00054,ads,2026-01-12,480,0,Canva,demo,2026-03-13,won
D00328,A00695,referral,2025-05-08,120,0,Canva,negotiation,2025-05-22,lost
D00329,A00863,website,2025-02-10,720,20,None,negotiation,2025-03-23,won
D00330,A01427,ads,2025-01-22,2400,25,Canva,proposal,2025-03-06,won
D00331,A01342,website,2025-05-21,360,20,Canva,proposal,2025-06-11,won
D00332,A01891,ads,2026-01-20,360,0,Canva,negotiation,2026-02-23,lost
D00333,A00349,website,2025-09-02,60,20,Canva,negotiation,2025-10-22,won
D00334,A00443,referral,2026-02-02,720,0,None,demo,2026-03-10,lost
D00335,A00833,website,2025-06-11,60,0,Adobe Express,negotiation,2025-07-12,lost
D00336,A00580,website,2025-10-25,120,10,Adobe Express,demo,2025-11-17,lost
D00337,A01564,outbound,2025-04-06,120,0,Canva,negotiation,2025-05-22,won
D00338,A01810,website,2025-06-25,360,15,None,proposal,2025-07-28,won
D00339,A00282,website,2025-12-25,480,15,Figma,proposal,2026-01-12,won
D00340,A00360,referral,2025-10-20,180,0,Canva,demo,2025-12-12,lost
D00341,A00915,outbound,2025-05-19,180,15,None,demo,2025-06-07,lost
D00342,A00823,referral,2025-03-16,1800,20,Canva,negotiation,2025-04-03,lost
D00343,A01655,referral,2025-08-04,60,20,Adobe Express,proposal,2025-08-31,lost
D00344,A00892,referral,2026-02-07,480,10,Figma,proposal,2026-03-22,lost
D00345,A00953,website,2025-01-25,60,0,Adobe Express,proposal,2025-03-25,won
D00346,A01670,referral,2025-05-11,240,15,Canva,proposal,2025-06-03,lost
D00347,A00641,outbound,2025-07-04,480,10,Canva,proposal,2025-07-18,won
