note_id,deal_id,account_id,note_date,note_text
N00078,D00047,A01385,2025-10-27,Customer raised concerns that Canva is already adopted by the team.
N00079,D00048,A00308,2025-08-05,Team liked the ease of onboarding and quick time to value.
N00080,D00048,A00308,2025-07-29,Buyer saw strong value in the AI-assisted design tools.
N00081,D00049,A01907,2026-03-02,Buyer saw strong value in the AI-assisted design tools.
N00082,D00049,A01907,2026-03-14,Team liked the ease of onboarding and quick time to value.
N00083,D00049,A01907,2026-02-17,Customer responded well to collaboration features and ease of use.
N00084,D00050,A01966,2025-07-22,Prospect liked the product but said Canva has stronger template variety.
N00085,D00051,A00162,2026-03-28,Buyer saw strong value in the AI-assisted design tools.
N00086,D00051,A00162,2026-03-09,Prospect liked the template library and fast export workflow.
N00087,D00052,A00869,2025-03-14,Team liked the ease of onboarding and quick time to value.
N00088,D00052,A00869,2025-03-11,Buyer saw strong value in the AI-assisted design tools.
N00089,D00052,A00869,2025-03-04,Buyer saw strong value in the AI-assisted design tools.
N00090,D00053,A00852,2025-09-04,Customer responded well to collaboration features and ease of use.
N00091,D00054,A00061,2025-06-29,Prospect liked the template library and fast export workflow.
N00092,D00054,A00061,2025-07-22,Prospect liked the template library and fast export workflow.
N00093,D00054,A00061,2025-07-04,Customer responded well to collaboration features and ease of use.
N00094,D00055,A00125,2025-11-07,Customer raised concerns that Figma is already adopted by the team.
N00095,D00055,A00125,2025-11-12,Deal slowed after prospect compared collaboration features with Figma.
N00096,D00056,A01480,2025-03-05,Prospect liked the template library and fast export workflow.
N00097,D00056,A01480,2025-02-21,Prospect liked the template library and fast export workflow.
N00098,D00057,A01095,2025-06-30,Customer raised concerns that Adobe Express is already adopted by the team.
N00099,D00058,A00838,2025-11-30,Customer raised concerns that Canva is already adopted by the team.
N00100,D00058,A00838,2025-12-01,Customer raised concerns that Canva is already adopted by the team.
N00101,D00059,A01931,2026-03-08,Customer raised concerns that Adobe Express is already adopted by the team.
N00102,D00060,A01900,2025-06-13,Customer responded well to collaboration features and ease of use.
N00103,D00060,A01900,2025-06-12,Team liked the ease of onboarding and quick time to value.
N00104,D00061,A00466,2025-01-18,Customer responded well to collaboration features and ease of use.
N00105,D00062,A00243,2025-07-07,Team liked the ease of onboarding and quick time to value.
N00106,D00063,A01514,2025-03-19,Prospect liked the template library and fast export workflow.
N00107,D00064,A01785,2025-03-27,Prospect liked the template library and fast export workflow.
N00108,D00065,A01245,2025-05-08,Prospect liked the template library and fast export workflow.
N00109,D00065,A01245,2025-04-27,Prospect liked the template library and fast export workflow.
N00110,D00066,A00473,2025-03-01,Prospect liked the template library and fast export workflow.
N00111,D00066,A00473,2025-03-16,Buyer saw strong value in the AI-assisted design tools.
N00112,D00066,A00473,2025-02-26,Customer responded well to collaboration features and ease of use.
N00113,D00067,A00959,2025-08-21,Customer raised concerns that Canva is already adopted by the team.
N00114,D00067,A00959,2025-08-31,Prospect liked the product but said Canva has stronger template variety.
N00115,D00068,A00533,2025-10-15,Prospect liked the product but said Canva has stronger template variety.
N00116,D00068,A00533,2025-10-21,Customer raised concerns that Canva is already adopted by the team.
N00117,D00068,A00533,2025-10-28,Deal slowed after prospect compared collaboration features with Canva.
N00118,D00069,A00494,2025-12-25,Buyer saw strong value in the AI-assisted design tools.
N00119,D00069,A00494,2025-12-06,Customer responded well to collaboration features and ease of use.
N00120,D00069,A00494,2025-12-29,Team liked the ease of onboarding and quick time to value.
N00121,D00070,A00899,2026-04-08,Prospect liked the template library and fast export workflow.
N00122,D00070,A00899,2026-03-31,Buyer saw strong value in the AI-assisted design tools.
N00123,D00070,A00899,2026-04-03,Team liked the ease of onboarding and quick time to value.
N00124,D00071,A00082,2025-02-21,Customer responded well to collaboration features and ease of use.
N00125,D00071,A00082,2025-02-08,Team liked the ease of onboarding and quick time to value.
N00126,D00072,A00856,2025-10-12,Prospect said onboarding seemed harder than expected for their team.
N00127,D00072,A00856,2025-10-17,Prospect said onboarding seemed harder than expected for their team.
N00128,D00072,A00856,2025-10-21,Prospect said onboarding seemed harder than expected for their team.
N00129,D00073,A00879,2026-01-15,Customer raised concerns that Canva is already adopted by the team.
N00130,D00073,A00879,2026-01-18,Deal slowed after prospect compared collaboration features with Canva.
N00131,D00074,A01546,2025-04-04,Customer responded well to collaboration features and ease of use.
N00132,D00075,A00923,2025-08-18,Buyer saw strong value in the AI-assisted design tools.
N00133,D00075,A00923,2025-08-04,Team liked the ease of onboarding and quick time to value.
N00134,D00075,A00923,2025-08-14,Prospect liked the template library and fast export workflow.
N00135,D00076,A00012,2025-06-30,Customer responded well to collaboration features and ease of use.
N00136,D00076,A00012,2025-06-18,Buyer saw strong value in the AI-assisted design tools.
N00137,D00077,A01287,2026-03-25,Prospect liked the template library and fast export workflow.
N00138,D00077,A01287,2026-03-17,Team liked the ease of onboarding and quick time to value.
N00139,D00078,A01681,2025-03-04,Team liked the ease of onboarding and quick time to value.
N00140,D00079,A00449,2025-04-10,Customer raised concerns that Canva is already adopted by the team.
N00141,D00080,A01216,2025-07-01,Prospect liked the product but said Canva has stronger template variety.
N00142,D00080,A01216,2025-06-13,Prospect liked the product but said Canva has stronger template variety.
N00143,D00080,A01216,2025-06-17,Customer raised concerns that Canva is already adopted by the team.
N00144,D00081,A00762,2025-03-03,Prospect liked the template library and fast export workflow.
N00145,D00082,A01138,2025-07-31,Team liked the ease of onboarding and quick time to value.
N00146,D00082,A01138,2025-08-07,Prospect liked the template library and fast export workflow.
N00147,D00083,A00026,2025-06-14,Customer responded well to collaboration features and ease of use.
N00148,D00083,A00026,2025-06-07,Buyer saw strong value in the AI-assisted design tools.
N00149,D00084,A01807,2025-12-28,Prospect liked the product but said Canva has stronger template variety.
N00150,D00084,A01807,2026-01-16,Deal slowed after prospect compared collaboration features with Canva.
N00151,D00085,A01523,2025-10-13,Buyer saw strong value in the AI-assisted design tools.
N00152,D00086,A00508,2026-03-09,Prospect said onboarding seemed harder than expected for their team.
N00153,D00086,A00508,2026-02-27,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N00154,D00087,A01569,2025-10-24,Buyer saw strong value in the AI-assisted design tools.
N00155,D00087,A01569,2025-11-09,Team liked the ease of onboarding and quick time to value.
N00156,D00088,A00062,2025-02-04,Prospect liked the product but said Piktochart has stronger template variety.
N00157,D00089,A00229,2025-12-11,Team liked the ease of onboarding and quick time to value.
N00158,D00089,A00229,2025-11-19,Team liked the ease of onboarding and quick time to value.
N00159,D00090,A01839,2025-05-11,Team liked the ease of onboarding and quick time to value.
N00160,D00090,A01839,2025-05-19,Prospect liked the template library and fast export workflow.
N00161,D00090,A01839,2025-04-27,Buyer saw strong value in the AI-assisted design tools.
N00162,D00091,A00607,2025-09-08,Customer raised concerns that Canva is already adopted by the team.
N00163,D00091,A00607,2025-09-08,Prospect liked the product but said Canva has stronger template variety.
N00164,D00091,A00607,2025-09-04,Prospect liked the product but said Canva has stronger template variety.
N00165,D00092,A01059,2025-06-24,Customer responded well to collaboration features and ease of use.
N00166,D00092,A01059,2025-06-29,Team liked the ease of onboarding and quick time to value.
N00167,D00092,A01059,2025-07-02,Buyer saw strong value in the AI-assisted design tools.
N00168,D00093,A01729,2025-11-04,Customer responded well to collaboration features and ease of use.
N00169,D00093,A01729,2025-10-17,Buyer saw strong value in the AI-assisted design tools.
N00170,D00094,A01480,2026-02-08,Deal slowed after prospect compared collaboration features with Adobe Express.
N00171,D00094,A01480,2026-02-24,Prospect liked the product but said Adobe Express has stronger template variety.
N00172,D00095,A01612,2025-11-14,Prospect liked the product but said Adobe Express has stronger template variety.
N00173,D00096,A00891,2026-02-14,Deal slowed after prospect compared collaboration features with Piktochart.
N00174,D00096,A00891,2026-02-07,Prospect liked the product but said Piktochart has stronger template variety.
N00175,D00096,A00891,2026-02-19,Deal slowed after prospect compared collaboration features with Piktochart.
N00176,D00097,A01526,2025-07-24,Customer raised concerns that Figma is already adopted by the team.
N00177,D00098,A00761,2025-04-17,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N00178,D00098,A00761,2025-04-24,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N00179,D00099,A00595,2026-01-06,Customer raised concerns that Adobe Express is already adopted by the team.
N00180,D00100,A01049,2026-01-14,Prospect liked the product but said Piktochart has stronger template variety.
N00181,D00100,A01049,2026-01-09,Deal slowed after prospect compared collaboration features with Piktochart.
N00182,D00100,A01049,2026-01-06,Prospect liked the product but said Piktochart has stronger template variety.
N00183,D00101,A01593,2025-02-04,Prospect liked the template library and fast export workflow.
N00184,D00102,A01056,2026-01-21,Customer responded well to collaboration features and ease of use.
N00185,D00103,A01855,2025-08-27,Prospect liked the product but said Canva has stronger template variety.
N00186,D00104,A01036,2025-04-23,Customer raised concerns that Canva is already adopted by the team.
N00187,D00105,A01343,2025-09-22,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N00188,D00106,A01869,2025-06-16,Deal slowed after prospect compared collaboration features with Piktochart.
N00189,D00107,A01628,2025-10-30,Prospect liked the product but said Canva has stronger template variety.
N00190,D00108,A00001,2026-03-07,Prospect liked the template library and fast export workflow.
N00191,D00109,A01459,2026-01-22,Customer raised concerns that Canva is already adopted by the team.
N00192,D00110,A01862,2025-08-13,Customer responded well to collaboration features and ease of use.
N00193,D00111,A01160,2025-11-25,Prospect liked the product but said Canva has stronger template variety.
N00194,D00111,A01160,2025-11-19,Deal slowed after prospect compared collaboration features with Canva.
N00195,D00112,A01220,2025-06-28,Prospect liked the template library and fast export workflow.
N00196,D00113,A00133,2025-01-27,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N00197,D00113,A00133,2025-02-02,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N00198,D00114,A00086,2025-05-15,Customer raised concerns that Adobe Express is already adopted by the team.
N00199,D00114,A00086,2025-05-11,Prospect liked the product but said Adobe Express has stronger template variety.
N00200,D00114,A00086,2025-04-27,Prospect liked the product but said Adobe Express has stronger template variety.
N00201,D00115,A01500,2025-01-30,Customer raised concerns that Canva is already adopted by the team.
N00202,D00116,A01831,2025-03-30,Prospect liked the template library and fast export workflow.
N00203,D00116,A01831,2025-04-02,Team liked the ease of onboarding and quick time to value.
N00204,D00116,A01831,2025-04-14,Buyer saw strong value in the AI-assisted design tools.
N00205,D00117,A01815,2025-07-04,Customer responded well to collaboration features and ease of use.
N00206,D00117,A01815,2025-06-06,Customer responded well to collaboration features and ease of use.
N00207,D00118,A01348,2025-07-18,Deal slowed after prospect compared collaboration features with Canva.
N00208,D00119,A01204,2025-10-24,Team liked the ease of onboarding and quick time to value.
N00209,D00120,A00516,2026-01-02,Customer raised concerns that Adobe Express is already adopted by the team.
N00210,D00120,A00516,2026-01-01,Prospect liked the product but said Adobe Express has stronger template variety.
N00211,D00121,A01662,2026-01-16,Buyer saw strong value in the AI-assisted design tools.
N00212,D00122,A00175,2025-12-10,Prospect liked the product but said Canva has stronger template variety.
N00213,D00122,A00175,2025-12-02,Prospect liked the product but said Canva has stronger template variety.
N00214,D00123,A00763,2025-07-01,Customer raised concerns that Canva is already adopted by the team.
N00215,D00123,A00763,2025-06-05,Customer raised concerns that Canva is already adopted by the team.
N00216,D00123,A00763,2025-07-01,Prospect liked the product but said Canva has stronger template variety.
N00217,D00124,A01045,2026-02-26,Deal slowed after prospect compared collaboration features with Figma.
N00218,D00124,A01045,2026-03-04,Customer raised concerns that Figma is already adopted by the team.
N00219,D00125,A00997,2025-02-02,Customer responded well to collaboration features and ease of use.
N00220,D00125,A00997,2025-01-17,Team liked the ease of onboarding and quick time to value.
N00221,D00126,A01976,2025-08-24,Prospect said onboarding seemed harder than expected for their team.
N00222,D00127,A01129,2026-02-26,Customer raised concerns that Figma is already adopted by the team.
N00223,D00128,A00578,2026-02-23,Prospect liked the product but said Canva has stronger template variety.
N00224,D00129,A01467,2026-04-03,Buyer saw strong value in the AI-assisted design tools.
N00225,D00130,A01799,2026-01-16,Deal slowed after prospect compared collaboration features with Canva.
N00226,D00131,A00049,2025-07-22,Deal slowed after prospect compared collaboration features with Canva.
N00227,D00132,A00528,2025-07-10,Prospect liked the template library and fast export workflow.
N00228,D00132,A00528,2025-07-19,Customer responded well to collaboration features and ease of use.
N00229,D00132,A00528,2025-07-15,Prospect liked the template library and fast export workflow.
N00230,D00133,A00145,2025-09-01,Customer raised concerns that Canva is already adopted by the team.
N00231,D00134,A01364,2025-02-06,Buyer saw strong value in the AI-assisted design tools.
N00232,D00135,A00762,2025-08-11,Prospect liked the template library and fast export workflow.
N00233,D00135,A00762,2025-07-20,Buyer saw strong value in the AI-assisted design tools.
N00234,D00135,A00762,2025-08-06,Customer responded well to collaboration features and ease of use.
N00235,D00136,A01879,2025-03-19,Prospect liked the product but said Canva has stronger template variety.
N00236,D00136,A01879,2025-04-02,Deal slowed after prospect compared collaboration features with Canva.
N00237,D00136,A01879,2025-04-05,Customer raised concerns that Canva is already adopted by the team.
N00238,D00137,A01378,2025-04-06,Customer raised concerns that Figma is already adopted by the team.
N00239,D00138,A01099,2025-06-25,Customer raised concerns that Canva is already adopted by the team.
N00240,D00138,A01099,2025-06-24,Deal slowed after prospect compared collaboration features with Canva.
N00241,D00139,A01826,2025-09-17,Prospect liked the product but said Canva has stronger template variety.
N00242,D00140,A00929,2025-09-15,Prospect liked the product but said Canva has stronger template variety.
N00243,D00141,A00794,2025-08-08,Team liked the ease of onboarding and quick time to value.
N00244,D00142,A01602,2025-04-24,Deal slowed after prospect compared collaboration features with Piktochart.
N00245,D00142,A01602,2025-04-22,Prospect liked the product but said Piktochart has stronger template variety.
N00246,D00142,A01602,2025-04-29,Deal slowed after prospect compared collaboration features with Piktochart.
N00247,D00143,A01661,2026-03-08,Customer raised concerns that Adobe Express is already adopted by the team.
N00248,D00144,A00319,2026-02-01,Customer responded well to collaboration features and ease of use.
N00249,D00144,A00319,2026-01-14,Customer responded well to collaboration features and ease of use.
N00250,D00145,A01111,2025-07-30,Customer responded well to collaboration features and ease of use.
N00251,D00145,A01111,2025-07-19,Team liked the ease of onboarding and quick time to value.
N00252,D00146,A01577,2025-06-27,Deal slowed after prospect compared collaboration features with Adobe Express.
N00253,D00146,A01577,2025-06-19,Customer raised concerns that Adobe Express is already adopted by the team.
N00254,D00147,A00698,2025-09-10,Deal slowed after prospect compared collaboration features with Canva.
N00255,D00148,A01890,2025-07-08,Buyer saw strong value in the AI-assisted design tools.
N00256,D00149,A01916,2026-01-18,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N00257,D00150,A00847,2025-03-17,Buyer saw strong value in the AI-assisted design tools.
N00258,D00150,A00847,2025-03-29,Prospect liked the template library and fast export workflow.
N00259,D00150,A00847,2025-03-18,Team liked the ease of onboarding and quick time to value.
N00260,D00151,A01802,2025-06-04,Prospect liked the product but said Canva has stronger template variety.
N00261,D00152,A00783,2025-03-02,Prospect liked the product but said Canva has stronger template variety.
N00262,D00153,A00042,2025-09-03,Buyer saw strong value in the AI-assisted design tools.
N00263,D00153,A00042,2025-08-18,Team liked the ease of onboarding and quick time to value.
N00264,D00153,A00042,2025-09-06,Buyer saw strong value in the AI-assisted design tools.
N00265,D00154,A01117,2025-04-09,Customer responded well to collaboration features and ease of use.
N00266,D00155,A01721,2026-01-05,Deal slowed after prospect compared collaboration features with Adobe Express.
N00267,D00155,A01721,2025-12-06,Customer raised concerns that Adobe Express is already adopted by the team.
N00268,D00156,A01751,2025-08-05,Buyer saw strong value in the AI-assisted design tools.
N00269,D00157,A01531,2026-02-07,Buyer saw strong value in the AI-assisted design tools.
N00270,D00158,A00529,2025-05-29,Customer raised concerns that Canva is already adopted by the team.
N00271,D00159,A01980,2025-03-24,Prospect said onboarding seemed harder than expected for their team.
N00272,D00159,A01980,2025-04-09,Prospect said onboarding seemed harder than expected for their team.
N00273,D00160,A01289,2025-07-06,Customer raised concerns that Piktochart is already adopted by the team.
N00274,D00161,A01650,2026-04-02,Team liked the ease of onboarding and quick time to value.
N00275,D00161,A01650,2026-03-18,Customer responded well to collaboration features and ease of use.
N00276,D00162,A00292,2026-03-01,Customer raised concerns that Piktochart is already adopted by the team.
N00277,D00163,A00969,2025-05-07,Team liked the ease of onboarding and quick time to value.
N00278,D00163,A00969,2025-05-13,Team liked the ease of onboarding and quick time to value.
N00279,D00163,A00969,2025-04-30,Customer responded well to collaboration features and ease of use.
N00280,D00164,A01488,2026-03-13,Prospect liked the template library and fast export workflow.
N00281,D00164,A01488,2026-02-21,Team liked the ease of onboarding and quick time to value.
N00282,D00164,A01488,2026-03-05,Buyer saw strong value in the AI-assisted design tools.
N00283,D00165,A01828,2025-07-06,Prospect liked the product but said Adobe Express has stronger template variety.
N00284,D00165,A01828,2025-06-20,Deal slowed after prospect compared collaboration features with Adobe Express.
N00285,D00166,A01584,2025-01-15,Buyer saw strong value in the AI-assisted design tools.
N00286,D00167,A01843,2025-11-17,Team liked the ease of onboarding and quick time to value.
N00287,D00168,A00097,2025-04-18,Prospect liked the product but said Figma has stronger template variety.
N00288,D00169,A01911,2026-03-24,Deal slowed after prospect compared collaboration features with Piktochart.
N00289,D00169,A01911,2026-03-18,Prospect liked the product but said Piktochart has stronger template variety.
N00290,D00170,A01119,2025-04-13,Prospect liked the product but said Canva has stronger template variety.
N00291,D00171,A01350,2025-02-23,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N00292,D00171,A01350,2025-03-22,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N00293,D00171,A01350,2025-02-27,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N00294,D00172,A00074,2025-08-16,Prospect liked the product but said Adobe Express has stronger template variety.
N00295,D00172,A00074,2025-09-06,Prospect liked the product but said Adobe Express has stronger template variety.
N00296,D00173,A01360,2026-04-01,Prospect liked the product but said Adobe Express has stronger template variety.
N00297,D00174,A01092,2025-07-30,Team liked the ease of onboarding and quick time to value.
N00298,D00174,A01092,2025-08-27,Prospect liked the template library and fast export workflow.
N00299,D00175,A00758,2025-01-24,Prospect liked the product but said Figma has stronger template variety.
N00300,D00175,A00758,2025-01-09,Deal slowed after prospect compared collaboration features with Figma.
N00301,D00176,A01942,2025-12-26,Customer raised concerns that Piktochart is already adopted by the team.
N00302,D00176,A01942,2025-12-25,Prospect liked the product but said Piktochart has stronger template variety.
N00303,D00176,A01942,2026-01-03,Prospect liked the product but said Piktochart has stronger template variety.
N00304,D00177,A01101,2025-09-14,Customer responded well to collaboration features and ease of use.
N00305,D00177,A01101,2025-09-06,Team liked the ease of onboarding and quick time to value.
N00306,D00178,A00208,2025-11-09,Customer raised concerns that Figma is already adopted by the team.
N00307,D00178,A00208,2025-11-07,Prospect liked the product but said Figma has stronger template variety.
N00308,D00179,A01908,2025-09-30,Customer responded well to collaboration features and ease of use.
N00309,D00180,A01790,2025-06-22,Buyer saw strong value in the AI-assisted design tools.
N00310,D00180,A01790,2025-07-14,Team liked the ease of onboarding and quick time to value.
N00311,D00181,A01245,2025-10-22,Deal slowed after prospect compared collaboration features with Canva.
N00312,D00181,A01245,2025-10-26,Customer raised concerns that Canva is already adopted by the team.
N00313,D00181,A01245,2025-11-08,Prospect liked the product but said Canva has stronger template variety.
N00314,D00182,A01286,2025-08-29,Customer raised concerns that Adobe Express is already adopted by the team.
N00315,D00183,A00410,2025-06-25,Customer responded well to collaboration features and ease of use.
N00316,D00184,A00331,2025-02-08,Customer raised concerns that Figma is already adopted by the team.
N00317,D00184,A00331,2025-02-05,Deal slowed after prospect compared collaboration features with Figma.
N00318,D00185,A00344,2025-12-06,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N00319,D00186,A00989,2025-12-31,Deal slowed after prospect compared collaboration features with Canva.
N00320,D00186,A00989,2025-12-13,Deal slowed after prospect compared collaboration features with Canva.
N00321,D00186,A00989,2025-12-11,Prospect liked the product but said Canva has stronger template variety.
N00322,D00187,A00771,2025-05-19,Customer raised concerns that Adobe Express is already adopted by the team.
N00323,D00188,A01844,2025-09-22,Prospect said onboarding seemed harder than expected for their team.
N00324,D00188,A01844,2025-09-15,Prospect said onboarding seemed harder than expected for their team.
N00325,D00189,A00074,2025-03-05,Team liked the ease of onboarding and quick time to value.
N00326,D00189,A00074,2025-03-19,Customer responded well to collaboration features and ease of use.
N00327,D00190,A01661,2025-12-18,Buyer saw strong value in the AI-assisted design tools.
N00328,D00190,A01661,2025-11-25,Buyer saw strong value in the AI-assisted design tools.
N00329,D00190,A01661,2025-12-09,Team liked the ease of onboarding and quick time to value.
N00330,D00191,A01724,2025-09-13,Team liked the ease of onboarding and quick time to value.
N00331,D00192,A00254,2025-04-25,Prospect liked the template library and fast export workflow.
N00332,D00193,A00959,2025-04-22,Customer raised concerns that Adobe Express is already adopted by the team.
N00333,D00194,A01857,2025-12-01,Customer responded well to collaboration features and ease of use.
N00334,D00194,A01857,2025-12-20,Team liked the ease of onboarding and quick time to value.
N00335,D00195,A00820,2025-10-10,Prospect liked the product but said Canva has stronger template variety.
N00336,D00195,A00820,2025-09-20,Prospect liked the product but said Canva has stronger template variety.
N00337,D00196,A01771,2025-10-28,Buyer mentioned pricing pressure and unclear ROI during evaluation.
N00338,D00197,A00986,2025-04-23,Buyer saw strong value in the AI-assisted design tools.
N00339,D00197,A00986,2025-05-01,Prospect liked the template library and fast export workflow.
N00340,D00198,A01786,2025-11-18,Deal slowed after prospect compared collaboration features with Canva.
N00341,D00198,A01786,2025-12-01,Prospect liked the product but said Canva has stronger template variety.
N00342,D00199,A00332,2025-11-22,Prospect liked the template library and fast export workflow.
N00343,D00199,A00332,2025-11-18,Prospect liked the template library and fast export workflow.
