ticket_id,account_id,created_date,ticket_type,priority,resolution_hours,csat_score,ticket_summary,account_revenue
T00088,A00061,2025-06-27,billing,medium,70,2,User reported confusion about plan renewal pricing.,300
T00089,A00061,2025-08-02,bug,low,9,4,User reported export failing on large files.,300
T00090,A00061,2025-10-27,feature_request,high,68,1,Customer requested more premium templates for social campaigns.,300
T00091,A00061,2025-08-12,performance_issue,medium,81,1,Customer experienced lag during export and preview.,300
T00092,A00062,2025-11-21,performance_issue,low,25,4,Team reported performance issues on large collaborative projects.,24
T00093,A00063,2025-01-25,performance_issue,low,13,3,Team reported performance issues on large collaborative projects.,300
T00094,A00063,2025-07-22,performance_issue,low,21,4,Team reported performance issues on large collaborative projects.,300
T00095,A00063,2025-10-21,feature_request,low,10,5,Customer requested more premium templates for social campaigns.,300
T00096,A00063,2025-12-20,bug,medium,21,4,User reported export failing on large files.,300
T00097,A00063,2025-08-16,billing,medium,52,3,Billing issue raised after duplicate invoice appeared.,300
T00098,A00064,2025-07-06,bug,medium,27,4,Bug reported in image upload flow causing failed imports.,450
T00099,A00064,2025-07-02,performance_issue,medium,19,1,Customer experienced lag during export and preview.,450
T00100,A00064,2025-05-06,feature_request,medium,35,4,Customer requested more premium templates for social campaigns.,450
T00101,A00064,2025-08-21,feature_request,low,22,4,User asked for advanced brand kit controls.,450
T00102,A00064,2025-02-15,performance_issue,medium,56,3,User reported slow loading times in the editor.,450
T00103,A00065,2025-08-02,bug,low,13,3,Customer hit a recurring editor crash while saving a design.,48
T00104,A00065,2025-07-23,performance_issue,medium,50,3,Customer experienced lag during export and preview.,48
T00105,A00066,2026-01-19,billing,medium,42,3,User reported confusion about plan renewal pricing.,36
T00106,A00066,2025-10-15,billing,medium,8,3,Billing issue raised after duplicate invoice appeared.,36
T00107,A00067,2025-02-12,performance_issue,low,15,3,Team reported performance issues on large collaborative projects.,240
T00108,A00067,2025-10-19,bug,low,19,5,User reported export failing on large files.,240
T00109,A00067,2025-08-22,bug,medium,72,2,Customer hit a recurring editor crash while saving a design.,240
T00110,A00068,2025-02-05,feature_request,high,71,2,Customer requested more premium templates for social campaigns.,120
T00111,A00068,2025-12-19,bug,low,19,5,Customer hit a recurring editor crash while saving a design.,120
T00112,A00068,2025-11-06,performance_issue,medium,59,1,User reported slow loading times in the editor.,120
T00113,A00068,2025-12-11,bug,medium,51,2,User reported export failing on large files.,120
T00114,A00068,2025-11-14,feature_request,medium,62,3,Team requested deeper collaboration permissions.,120
T00115,A00068,2026-01-24,billing,low,6,5,Billing issue raised after duplicate invoice appeared.,120
T00116,A00069,2026-02-04,bug,low,8,5,Bug reported in image upload flow causing failed imports.,450
T00117,A00069,2025-10-20,billing,medium,51,4,User reported confusion about plan renewal pricing.,450
T00118,A00069,2025-08-16,bug,medium,42,3,Customer hit a recurring editor crash while saving a design.,450
T00119,A00069,2026-02-04,bug,medium,52,3,Customer hit a recurring editor crash while saving a design.,450
T00120,A00070,2025-09-04,billing,low,19,3,Customer asked about an unexpected billing charge.,150
T00121,A00070,2025-06-05,billing,low,12,4,Billing issue raised after duplicate invoice appeared.,150
T00122,A00070,2026-02-11,feature_request,medium,41,4,Team requested deeper collaboration permissions.,150
T00123,A00071,2025-04-24,performance_issue,low,20,4,Customer experienced lag during export and preview.,24
T00124,A00071,2025-12-03,billing,high,92,2,User reported confusion about plan renewal pricing.,24
T00125,A00071,2025-07-30,billing,medium,21,3,Billing issue raised after duplicate invoice appeared.,24
T00126,A00072,2026-01-07,bug,medium,30,2,User reported export failing on large files.,48
T00127,A00072,2025-01-28,performance_issue,low,42,3,Customer experienced lag during export and preview.,48
T00128,A00072,2025-05-04,bug,high,75,3,Customer hit a recurring editor crash while saving a design.,48
T00129,A00072,2025-04-18,feature_request,medium,22,3,User asked for advanced brand kit controls.,48
T00130,A00074,2025-08-27,billing,low,19,4,Customer asked about an unexpected billing charge.,180
T00131,A00074,2025-01-25,billing,low,2,5,Customer asked about an unexpected billing charge.,180
T00132,A00074,2025-05-10,performance_issue,high,63,1,Customer experienced lag during export and preview.,180
T00133,A00077,2026-01-28,bug,medium,66,2,Customer hit a recurring editor crash while saving a design.,48
T00134,A00079,2025-12-06,feature_request,medium,41,2,Customer requested more premium templates for social campaigns.,48
T00135,A00080,2025-10-02,bug,medium,41,4,Customer hit a recurring editor crash while saving a design.,48
T00136,A00082,2025-06-30,bug,low,5,3,Customer hit a recurring editor crash while saving a design.,180
T00137,A00082,2025-06-22,billing,low,15,5,User reported confusion about plan renewal pricing.,180
T00138,A00082,2025-06-25,performance_issue,medium,51,1,Customer experienced lag during export and preview.,180
T00139,A00083,2025-11-21,billing,low,21,5,User reported confusion about plan renewal pricing.,60
T00140,A00083,2025-07-21,bug,high,63,1,Bug reported in image upload flow causing failed imports.,60
T00141,A00084,2025-08-28,performance_issue,low,26,4,User reported slow loading times in the editor.,0
T00142,A00085,2025-06-10,bug,low,20,5,User reported export failing on large files.,36
T00143,A00085,2025-07-07,performance_issue,medium,59,1,Customer experienced lag during export and preview.,36
T00144,A00085,2025-01-10,billing,medium,52,4,Billing issue raised after duplicate invoice appeared.,36
T00145,A00088,2026-02-07,feature_request,high,119,3,User asked for advanced brand kit controls.,150
T00146,A00089,2025-11-03,bug,low,16,5,Customer hit a recurring editor crash while saving a design.,48
T00147,A00089,2025-09-14,feature_request,low,16,4,Customer requested more premium templates for social campaigns.,48
T00148,A00091,2025-07-26,billing,high,107,2,Customer asked about an unexpected billing charge.,24
T00149,A00092,2026-01-31,bug,low,5,5,Customer hit a recurring editor crash while saving a design.,180
T00150,A00092,2025-03-02,bug,low,21,5,User reported export failing on large files.,180
T00151,A00095,2025-05-03,bug,medium,60,2,User reported export failing on large files.,240
T00152,A00095,2026-02-07,performance_issue,low,48,4,Team reported performance issues on large collaborative projects.,240
T00153,A00095,2025-01-01,bug,medium,46,3,Customer hit a recurring editor crash while saving a design.,240
T00154,A00095,2025-05-09,performance_issue,high,33,1,Customer experienced lag during export and preview.,240
T00155,A00098,2026-01-02,billing,medium,64,4,Customer asked about an unexpected billing charge.,12
T00156,A00099,2025-12-09,performance_issue,low,28,4,Team reported performance issues on large collaborative projects.,120
T00157,A00099,2026-02-19,feature_request,medium,70,4,Team requested deeper collaboration permissions.,120
T00158,A00099,2025-03-05,feature_request,medium,39,3,Team requested deeper collaboration permissions.,120
T00159,A00099,2025-06-13,billing,medium,52,4,Billing issue raised after duplicate invoice appeared.,120
T00160,A00100,2025-09-23,bug,medium,51,2,Bug reported in image upload flow causing failed imports.,180
T00161,A00100,2025-05-26,billing,low,7,4,User reported confusion about plan renewal pricing.,180
T00162,A00100,2025-01-19,bug,low,23,4,User reported export failing on large files.,180
T00163,A00100,2025-11-08,performance_issue,medium,77,1,Customer experienced lag during export and preview.,180
T00164,A00100,2025-02-09,feature_request,high,36,1,User asked for advanced brand kit controls.,180
T00165,A00100,2025-12-14,bug,low,12,5,User reported export failing on large files.,180
T00166,A00100,2026-01-19,performance_issue,medium,31,1,User reported slow loading times in the editor.,180
T00167,A00101,2025-10-21,feature_request,low,13,4,Team requested deeper collaboration permissions.,36
T00168,A00101,2025-01-18,billing,high,58,3,User reported confusion about plan renewal pricing.,36
T00169,A00103,2025-12-25,billing,low,18,4,Billing issue raised after duplicate invoice appeared.,180
T00170,A00104,2025-06-10,performance_issue,low,20,4,Team reported performance issues on large collaborative projects.,180
T00171,A00104,2025-02-26,performance_issue,low,12,3,Team reported performance issues on large collaborative projects.,180
T00172,A00106,2026-02-19,feature_request,medium,54,4,Customer requested more premium templates for social campaigns.,24
T00173,A00107,2026-01-30,bug,low,22,5,Bug reported in image upload flow causing failed imports.,48
T00174,A00107,2025-07-25,bug,high,78,2,Bug reported in image upload flow causing failed imports.,48
T00175,A00107,2025-04-12,billing,medium,39,3,User reported confusion about plan renewal pricing.,48
T00176,A00108,2025-12-11,performance_issue,medium,85,1,Customer experienced lag during export and preview.,90
T00177,A00109,2025-09-08,feature_request,medium,60,2,Customer requested more premium templates for social campaigns.,48
T00178,A00110,2025-03-10,feature_request,medium,66,2,Team requested deeper collaboration permissions.,0
T00179,A00111,2025-05-19,bug,low,18,3,User reported export failing on large files.,0
T00180,A00112,2026-02-15,feature_request,high,51,1,User asked for advanced brand kit controls.,240
T00181,A00112,2025-01-04,performance_issue,low,27,2,User reported slow loading times in the editor.,240
T00182,A00113,2025-11-06,performance_issue,medium,47,1,Customer experienced lag during export and preview.,36
T00183,A00116,2025-09-10,feature_request,low,10,3,Team requested deeper collaboration permissions.,48
T00184,A00117,2025-04-27,feature_request,low,10,5,User asked for advanced brand kit controls.,240
T00185,A00117,2025-04-26,billing,medium,59,4,User reported confusion about plan renewal pricing.,240
T00186,A00119,2026-01-31,billing,low,16,5,Billing issue raised after duplicate invoice appeared.,12
T00187,A00122,2025-08-15,feature_request,low,19,4,Customer requested more premium templates for social campaigns.,24
T00188,A00123,2025-01-12,billing,medium,42,4,Customer asked about an unexpected billing charge.,180
T00189,A00123,2025-12-07,performance_issue,low,27,4,User reported slow loading times in the editor.,180
T00190,A00123,2026-02-16,performance_issue,medium,77,3,Customer experienced lag during export and preview.,180
T00191,A00126,2025-10-15,performance_issue,low,36,3,User reported slow loading times in the editor.,60
T00192,A00126,2025-09-20,bug,medium,57,2,User reported export failing on large files.,60
T00193,A00127,2025-12-09,bug,medium,51,2,Customer hit a recurring editor crash while saving a design.,120
T00194,A00127,2025-08-30,bug,low,8,5,Bug reported in image upload flow causing failed imports.,120
T00195,A00128,2026-02-03,feature_request,low,9,5,Customer requested more premium templates for social campaigns.,240
T00196,A00128,2026-01-26,bug,low,5,5,Bug reported in image upload flow causing failed imports.,240
T00197,A00128,2025-10-26,feature_request,medium,57,3,Customer requested more premium templates for social campaigns.,240
T00198,A00128,2025-12-11,billing,medium,19,2,Customer asked about an unexpected billing charge.,240
T00199,A00129,2025-05-16,performance_issue,low,13,2,Team reported performance issues on large collaborative projects.,48
T00200,A00129,2025-03-23,bug,medium,29,3,Customer hit a recurring editor crash while saving a design.,48
T00201,A00129,2025-10-27,billing,low,3,3,User reported confusion about plan renewal pricing.,48
T00202,A00131,2025-10-18,billing,low,21,5,Customer asked about an unexpected billing charge.,90
T00203,A00132,2025-06-06,bug,medium,50,4,Customer hit a recurring editor crash while saving a design.,450
T00204,A00132,2025-05-16,bug,medium,48,3,Bug reported in image upload flow causing failed imports.,450
T00205,A00132,2025-07-10,bug,medium,42,3,Bug reported in image upload flow causing failed imports.,450
T00206,A00132,2025-12-18,performance_issue,medium,50,1,Customer experienced lag during export and preview.,450
T00207,A00132,2025-02-09,billing,medium,43,3,Customer asked about an unexpected billing charge.,450
T00208,A00134,2026-02-13,feature_request,low,17,3,Team requested deeper collaboration permissions.,240
T00209,A00134,2025-04-20,feature_request,medium,51,2,User asked for advanced brand kit controls.,240
T00210,A00134,2025-09-19,billing,low,15,3,Customer asked about an unexpected billing charge.,240
T00211,A00134,2025-01-30,performance_issue,low,30,3,User reported slow loading times in the editor.,240
T00212,A00134,2025-10-31,bug,medium,20,4,User reported export failing on large files.,240
T00213,A00135,2025-08-08,billing,low,15,5,Billing issue raised after duplicate invoice appeared.,12
T00214,A00135,2026-02-03,performance_issue,low,31,2,Customer experienced lag during export and preview.,12
T00215,A00135,2025-05-14,feature_request,low,16,3,User asked for advanced brand kit controls.,12
T00216,A00136,2025-02-08,performance_issue,medium,29,1,Customer experienced lag during export and preview.,450
T00217,A00136,2025-05-05,feature_request,medium,39,2,User asked for advanced brand kit controls.,450
T00218,A00137,2025-02-19,feature_request,high,58,1,Customer requested more premium templates for social campaigns.,48
T00219,A00137,2025-03-28,billing,medium,31,3,Billing issue raised after duplicate invoice appeared.,48
T00220,A00137,2025-01-06,billing,medium,34,3,Customer asked about an unexpected billing charge.,48
T00221,A00137,2025-09-04,billing,low,1,5,User reported confusion about plan renewal pricing.,48
T00222,A00138,2025-09-05,bug,medium,45,3,User reported export failing on large files.,150
T00223,A00138,2025-01-06,feature_request,low,24,5,User asked for advanced brand kit controls.,150
T00224,A00138,2025-10-06,performance_issue,medium,76,2,User reported slow loading times in the editor.,150
T00225,A00140,2025-03-15,feature_request,medium,67,3,Team requested deeper collaboration permissions.,12
T00226,A00143,2025-01-02,bug,low,20,4,Customer hit a recurring editor crash while saving a design.,240
T00227,A00143,2025-09-05,bug,medium,61,4,Bug reported in image upload flow causing failed imports.,240
T00228,A00143,2025-08-02,bug,low,3,5,User reported export failing on large files.,240
T00229,A00144,2025-03-17,billing,low,4,4,Customer asked about an unexpected billing charge.,90
T00230,A00144,2025-09-26,bug,low,10,5,Bug reported in image upload flow causing failed imports.,90
T00231,A00144,2025-01-26,billing,low,13,5,Billing issue raised after duplicate invoice appeared.,90
T00232,A00144,2025-09-14,bug,medium,46,2,Customer hit a recurring editor crash while saving a design.,90
T00233,A00145,2025-01-23,bug,high,97,1,User reported export failing on large files.,0
T00234,A00148,2026-03-09,bug,medium,28,3,Customer hit a recurring editor crash while saving a design.,36
T00235,A00150,2026-02-12,feature_request,low,21,4,User asked for advanced brand kit controls.,0
T00236,A00153,2025-08-08,feature_request,low,9,5,User asked for advanced brand kit controls.,60
T00237,A00154,2025-11-10,performance_issue,low,32,2,User reported slow loading times in the editor.,60
T00238,A00154,2025-06-15,bug,low,13,3,Bug reported in image upload flow causing failed imports.,60
T00239,A00155,2025-12-16,feature_request,medium,37,4,Customer requested more premium templates for social campaigns.,24
T00240,A00156,2026-02-12,billing,medium,57,3,Billing issue raised after duplicate invoice appeared.,0
T00241,A00158,2026-01-04,feature_request,low,2,5,Team requested deeper collaboration permissions.,24
T00242,A00159,2025-01-08,billing,low,16,5,Customer asked about an unexpected billing charge.,12
T00243,A00159,2026-02-21,performance_issue,medium,60,1,Team reported performance issues on large collaborative projects.,12
T00244,A00161,2025-11-02,feature_request,low,4,5,User asked for advanced brand kit controls.,0
T00245,A00163,2025-03-05,billing,low,22,3,Billing issue raised after duplicate invoice appeared.,36
T00246,A00165,2025-07-11,bug,high,32,3,Bug reported in image upload flow causing failed imports.,48
T00247,A00166,2025-07-23,performance_issue,low,29,2,Team reported performance issues on large collaborative projects.,24
T00248,A00169,2025-07-20,billing,low,5,5,User reported confusion about plan renewal pricing.,12
T00249,A00169,2025-05-22,feature_request,high,25,2,Customer requested more premium templates for social campaigns.,12
T00250,A00171,2025-05-07,bug,low,4,4,User reported export failing on large files.,180
T00251,A00171,2025-11-23,feature_request,low,20,3,User asked for advanced brand kit controls.,180
T00252,A00172,2026-02-04,bug,low,24,3,Customer hit a recurring editor crash while saving a design.,450
T00253,A00172,2026-02-12,billing,low,6,4,Customer asked about an unexpected billing charge.,450
T00254,A00173,2025-02-27,bug,low,5,3,Customer hit a recurring editor crash while saving a design.,24
T00255,A00173,2026-01-23,billing,low,19,5,Customer asked about an unexpected billing charge.,24
T00256,A00176,2025-09-19,feature_request,low,18,5,User asked for advanced brand kit controls.,0
T00257,A00177,2025-09-21,feature_request,low,12,4,Customer requested more premium templates for social campaigns.,12
T00258,A00179,2025-04-29,bug,low,5,5,User reported export failing on large files.,60
T00259,A00179,2025-04-29,billing,medium,55,4,Billing issue raised after duplicate invoice appeared.,60
T00260,A00179,2025-12-16,billing,medium,46,2,Billing issue raised after duplicate invoice appeared.,60
T00261,A00180,2025-01-03,feature_request,low,21,3,User asked for advanced brand kit controls.,240
T00262,A00180,2026-02-16,performance_issue,low,23,3,Customer experienced lag during export and preview.,240
T00263,A00181,2025-06-09,bug,medium,18,3,Customer hit a recurring editor crash while saving a design.,180
T00264,A00181,2025-04-22,performance_issue,low,31,3,Team reported performance issues on large collaborative projects.,180
T00265,A00182,2025-03-04,billing,low,23,4,Customer asked about an unexpected billing charge.,60
T00266,A00182,2025-06-05,performance_issue,medium,34,3,User reported slow loading times in the editor.,60
T00267,A00183,2025-10-06,bug,low,3,3,User reported export failing on large files.,36
T00268,A00183,2025-10-20,bug,medium,32,2,Customer hit a recurring editor crash while saving a design.,36
T00269,A00184,2025-10-26,performance_issue,low,36,4,Team reported performance issues on large collaborative projects.,90
T00270,A00185,2025-10-24,billing,medium,69,4,Customer asked about an unexpected billing charge.,36
T00271,A00185,2025-08-21,performance_issue,medium,59,2,User reported slow loading times in the editor.,36
T00272,A00188,2025-02-11,bug,medium,71,3,Customer hit a recurring editor crash while saving a design.,300
T00273,A00188,2025-04-09,feature_request,low,23,3,Customer requested more premium templates for social campaigns.,300
T00274,A00189,2025-09-14,billing,low,12,4,User reported confusion about plan renewal pricing.,120
T00275,A00189,2025-06-05,feature_request,low,2,5,Customer requested more premium templates for social campaigns.,120
T00276,A00189,2025-01-03,performance_issue,medium,40,2,Customer experienced lag during export and preview.,120
T00277,A00190,2025-05-10,bug,medium,19,3,Bug reported in image upload flow causing failed imports.,60
T00278,A00191,2025-10-12,performance_issue,low,32,4,Team reported performance issues on large collaborative projects.,48
T00279,A00191,2025-08-18,performance_issue,medium,60,1,Customer experienced lag during export and preview.,48
T00280,A00191,2026-01-23,feature_request,medium,41,2,Team requested deeper collaboration permissions.,48
T00281,A00193,2025-08-23,bug,medium,66,3,Customer hit a recurring editor crash while saving a design.,24
T00282,A00193,2025-02-01,feature_request,low,22,4,Customer requested more premium templates for social campaigns.,24
T00283,A00194,2025-06-08,performance_issue,medium,68,2,Customer experienced lag during export and preview.,0
T00284,A00196,2025-12-09,performance_issue,medium,90,3,User reported slow loading times in the editor.,12
T00285,A00198,2026-01-26,billing,low,3,5,User reported confusion about plan renewal pricing.,36
T00286,A00198,2025-04-27,bug,medium,38,2,User reported export failing on large files.,36
T00287,A00198,2025-10-25,billing,low,6,4,User reported confusion about plan renewal pricing.,36
T00288,A00198,2025-06-20,performance_issue,high,137,2,Customer experienced lag during export and preview.,36
T00289,A00199,2025-03-01,bug,high,57,2,User reported export failing on large files.,150
T00290,A00199,2025-05-24,feature_request,medium,46,4,Team requested deeper collaboration permissions.,150
T00291,A00200,2025-06-05,feature_request,low,2,5,Team requested deeper collaboration permissions.,300
T00292,A00200,2026-03-08,performance_issue,low,25,4,User reported slow loading times in the editor.,300
T00293,A00201,2025-07-18,billing,medium,19,3,Customer asked about an unexpected billing charge.,12
T00294,A00201,2025-03-25,feature_request,medium,51,3,User asked for advanced brand kit controls.,12
T00295,A00202,2025-11-01,billing,low,2,4,Billing issue raised after duplicate invoice appeared.,120
T00296,A00202,2026-01-03,bug,medium,54,4,Customer hit a recurring editor crash while saving a design.,120
T00297,A00202,2026-03-02,bug,medium,69,3,User reported export failing on large files.,120
T00298,A00203,2025-01-27,feature_request,high,37,1,User asked for advanced brand kit controls.,60
T00299,A00203,2025-07-20,feature_request,low,19,4,User asked for advanced brand kit controls.,60
T00300,A00203,2025-05-29,billing,low,15,4,Billing issue raised after duplicate invoice appeared.,60
T00301,A00205,2025-08-03,bug,low,24,4,Customer hit a recurring editor crash while saving a design.,12
T00302,A00205,2025-09-20,bug,low,15,3,Bug reported in image upload flow causing failed imports.,12
T00303,A00205,2025-03-27,billing,high,82,1,User reported confusion about plan renewal pricing.,12
T00304,A00206,2025-04-18,bug,low,22,5,Customer hit a recurring editor crash while saving a design.,240
T00305,A00206,2025-05-18,billing,low,17,4,Billing issue raised after duplicate invoice appeared.,240
T00306,A00206,2025-10-24,feature_request,high,27,1,Customer requested more premium templates for social campaigns.,240
T00307,A00206,2025-12-17,bug,medium,72,3,Customer hit a recurring editor crash while saving a design.,240
T00308,A00208,2026-01-15,bug,low,17,4,Customer hit a recurring editor crash while saving a design.,24
T00309,A00210,2025-07-14,bug,medium,9,3,Bug reported in image upload flow causing failed imports.,240
T00310,A00210,2025-11-02,feature_request,high,99,3,Customer requested more premium templates for social campaigns.,240
T00311,A00210,2025-04-22,feature_request,medium,60,2,Team requested deeper collaboration permissions.,240
T00312,A00213,2026-02-05,billing,medium,24,3,Billing issue raised after duplicate invoice appeared.,12
T00313,A00213,2025-11-16,feature_request,medium,68,2,User asked for advanced brand kit controls.,12
