note_id,deal_id,account_id,note_date,note_text,category,subcategory,matched_terms,confidence
N00051,D00030,A00503,2025-01-22,Prospect said onboarding seemed harder than expected for their team.,Operational,onboarding_confusion,onboarding,0.6
N00052,D00031,A01224,2025-02-19,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00053,D00032,A01986,2026-03-20,Buyer mentioned pricing pressure and unclear ROI during evaluation.,Commercial,pricing_concerns,pricing,0.6
N00054,D00033,A00902,2026-01-08,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N00055,D00034,A00543,2026-03-13,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00056,D00035,A01526,2025-09-01,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00057,D00035,A01526,2025-09-05,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00058,D00036,A01674,2025-02-23,Customer raised concerns that Adobe Express is already adopted by the team.,Competitive,competitor_switch,adobe express,0.6
N00059,D00036,A01674,2025-02-04,Customer raised concerns that Adobe Express is already adopted by the team.,Competitive,competitor_switch,adobe express,0.6
N00060,D00037,A00492,2026-01-02,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00061,D00037,A00492,2025-12-19,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00062,D00038,A01045,2025-06-07,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N00063,D00039,A01258,2025-12-02,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00064,D00039,A01258,2025-11-19,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N00065,D00040,A00714,2025-09-28,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00066,D00040,A00714,2025-09-23,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00067,D00041,A00791,2025-04-18,Deal slowed after prospect compared collaboration features with Canva.,Product,missing_features,feature,0.6
N00068,D00042,A01667,2026-03-03,Prospect said onboarding seemed harder than expected for their team.,Operational,onboarding_confusion,onboarding,0.6
N00069,D00042,A01667,2026-02-16,Prospect said onboarding seemed harder than expected for their team.,Operational,onboarding_confusion,onboarding,0.6
N00070,D00043,A00416,2025-07-05,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00071,D00043,A00416,2025-07-06,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N00072,D00043,A00416,2025-07-19,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00073,D00044,A00148,2025-06-23,Prospect liked the product but said Piktochart has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00074,D00045,A00970,2025-06-03,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00075,D00045,A00970,2025-05-30,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N00076,D00046,A00029,2025-05-26,Deal slowed after prospect compared collaboration features with Canva.,Product,missing_features,feature,0.6
N00077,D00047,A01385,2025-10-04,Deal slowed after prospect compared collaboration features with Canva.,Product,missing_features,feature,0.6
N00078,D00047,A01385,2025-10-27,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N00079,D00048,A00308,2025-08-05,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00080,D00048,A00308,2025-07-29,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N00081,D00049,A01907,2026-03-02,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N00082,D00049,A01907,2026-03-14,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00083,D00049,A01907,2026-02-17,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00084,D00050,A01966,2025-07-22,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00085,D00051,A00162,2026-03-28,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N00086,D00051,A00162,2026-03-09,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00087,D00052,A00869,2025-03-14,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00088,D00052,A00869,2025-03-11,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N00089,D00052,A00869,2025-03-04,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N00090,D00053,A00852,2025-09-04,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00091,D00054,A00061,2025-06-29,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00092,D00054,A00061,2025-07-22,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00093,D00054,A00061,2025-07-04,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00094,D00055,A00125,2025-11-07,Customer raised concerns that Figma is already adopted by the team.,Competitive,competitor_switch,figma,0.6
N00095,D00055,A00125,2025-11-12,Deal slowed after prospect compared collaboration features with Figma.,Product,missing_features,feature,0.6
N00096,D00056,A01480,2025-03-05,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00097,D00056,A01480,2025-02-21,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00098,D00057,A01095,2025-06-30,Customer raised concerns that Adobe Express is already adopted by the team.,Competitive,competitor_switch,adobe express,0.6
N00099,D00058,A00838,2025-11-30,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N00100,D00058,A00838,2025-12-01,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N00101,D00059,A01931,2026-03-08,Customer raised concerns that Adobe Express is already adopted by the team.,Competitive,competitor_switch,adobe express,0.6
N00102,D00060,A01900,2025-06-13,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00103,D00060,A01900,2025-06-12,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00104,D00061,A00466,2025-01-18,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00105,D00062,A00243,2025-07-07,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00106,D00063,A01514,2025-03-19,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00107,D00064,A01785,2025-03-27,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00108,D00065,A01245,2025-05-08,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00109,D00065,A01245,2025-04-27,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00110,D00066,A00473,2025-03-01,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00111,D00066,A00473,2025-03-16,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N00112,D00066,A00473,2025-02-26,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00113,D00067,A00959,2025-08-21,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N00114,D00067,A00959,2025-08-31,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00115,D00068,A00533,2025-10-15,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00116,D00068,A00533,2025-10-21,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N00117,D00068,A00533,2025-10-28,Deal slowed after prospect compared collaboration features with Canva.,Product,missing_features,feature,0.6
N00118,D00069,A00494,2025-12-25,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N00119,D00069,A00494,2025-12-06,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00120,D00069,A00494,2025-12-29,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00121,D00070,A00899,2026-04-08,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00122,D00070,A00899,2026-03-31,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N00123,D00070,A00899,2026-04-03,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00124,D00071,A00082,2025-02-21,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00125,D00071,A00082,2025-02-08,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00126,D00072,A00856,2025-10-12,Prospect said onboarding seemed harder than expected for their team.,Operational,onboarding_confusion,onboarding,0.6
N00127,D00072,A00856,2025-10-17,Prospect said onboarding seemed harder than expected for their team.,Operational,onboarding_confusion,onboarding,0.6
N00128,D00072,A00856,2025-10-21,Prospect said onboarding seemed harder than expected for their team.,Operational,onboarding_confusion,onboarding,0.6
N00129,D00073,A00879,2026-01-15,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N00130,D00073,A00879,2026-01-18,Deal slowed after prospect compared collaboration features with Canva.,Product,missing_features,feature,0.6
N00131,D00074,A01546,2025-04-04,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00132,D00075,A00923,2025-08-18,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N00133,D00075,A00923,2025-08-04,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00134,D00075,A00923,2025-08-14,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00135,D00076,A00012,2025-06-30,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00136,D00076,A00012,2025-06-18,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N00137,D00077,A01287,2026-03-25,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00138,D00077,A01287,2026-03-17,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00139,D00078,A01681,2025-03-04,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00140,D00079,A00449,2025-04-10,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N00141,D00080,A01216,2025-07-01,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00142,D00080,A01216,2025-06-13,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00143,D00080,A01216,2025-06-17,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N00144,D00081,A00762,2025-03-03,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00145,D00082,A01138,2025-07-31,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00146,D00082,A01138,2025-08-07,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00147,D00083,A00026,2025-06-14,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00148,D00083,A00026,2025-06-07,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N00149,D00084,A01807,2025-12-28,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00150,D00084,A01807,2026-01-16,Deal slowed after prospect compared collaboration features with Canva.,Product,missing_features,feature,0.6
N00151,D00085,A01523,2025-10-13,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N00152,D00086,A00508,2026-03-09,Prospect said onboarding seemed harder than expected for their team.,Operational,onboarding_confusion,onboarding,0.6
N00153,D00086,A00508,2026-02-27,Buyer mentioned pricing pressure and unclear ROI during evaluation.,Commercial,pricing_concerns,pricing,0.6
N00154,D00087,A01569,2025-10-24,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N00155,D00087,A01569,2025-11-09,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00156,D00088,A00062,2025-02-04,Prospect liked the product but said Piktochart has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00157,D00089,A00229,2025-12-11,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00158,D00089,A00229,2025-11-19,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00159,D00090,A01839,2025-05-11,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00160,D00090,A01839,2025-05-19,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00161,D00090,A01839,2025-04-27,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N00162,D00091,A00607,2025-09-08,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N00163,D00091,A00607,2025-09-08,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00164,D00091,A00607,2025-09-04,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00165,D00092,A01059,2025-06-24,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00166,D00092,A01059,2025-06-29,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00167,D00092,A01059,2025-07-02,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N00168,D00093,A01729,2025-11-04,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00169,D00093,A01729,2025-10-17,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N00170,D00094,A01480,2026-02-08,Deal slowed after prospect compared collaboration features with Adobe Express.,Product,missing_features,feature,0.6
N00171,D00094,A01480,2026-02-24,Prospect liked the product but said Adobe Express has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00172,D00095,A01612,2025-11-14,Prospect liked the product but said Adobe Express has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00173,D00096,A00891,2026-02-14,Deal slowed after prospect compared collaboration features with Piktochart.,Product,missing_features,feature,0.6
N00174,D00096,A00891,2026-02-07,Prospect liked the product but said Piktochart has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00175,D00096,A00891,2026-02-19,Deal slowed after prospect compared collaboration features with Piktochart.,Product,missing_features,feature,0.6
N00176,D00097,A01526,2025-07-24,Customer raised concerns that Figma is already adopted by the team.,Competitive,competitor_switch,figma,0.6
N00177,D00098,A00761,2025-04-17,Buyer mentioned pricing pressure and unclear ROI during evaluation.,Commercial,pricing_concerns,pricing,0.6
N00178,D00098,A00761,2025-04-24,Buyer mentioned pricing pressure and unclear ROI during evaluation.,Commercial,pricing_concerns,pricing,0.6
N00179,D00099,A00595,2026-01-06,Customer raised concerns that Adobe Express is already adopted by the team.,Competitive,competitor_switch,adobe express,0.6
N00180,D00100,A01049,2026-01-14,Prospect liked the product but said Piktochart has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00181,D00100,A01049,2026-01-09,Deal slowed after prospect compared collaboration features with Piktochart.,Product,missing_features,feature,0.6
N00182,D00100,A01049,2026-01-06,Prospect liked the product but said Piktochart has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00183,D00101,A01593,2025-02-04,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00184,D00102,A01056,2026-01-21,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00185,D00103,A01855,2025-08-27,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00186,D00104,A01036,2025-04-23,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N00187,D00105,A01343,2025-09-22,Buyer mentioned pricing pressure and unclear ROI during evaluation.,Commercial,pricing_concerns,pricing,0.6
N00188,D00106,A01869,2025-06-16,Deal slowed after prospect compared collaboration features with Piktochart.,Product,missing_features,feature,0.6
N00189,D00107,A01628,2025-10-30,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00190,D00108,A00001,2026-03-07,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00191,D00109,A01459,2026-01-22,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N00192,D00110,A01862,2025-08-13,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00193,D00111,A01160,2025-11-25,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00194,D00111,A01160,2025-11-19,Deal slowed after prospect compared collaboration features with Canva.,Product,missing_features,feature,0.6
N00195,D00112,A01220,2025-06-28,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00196,D00113,A00133,2025-01-27,Buyer mentioned pricing pressure and unclear ROI during evaluation.,Commercial,pricing_concerns,pricing,0.6
N00197,D00113,A00133,2025-02-02,Buyer mentioned pricing pressure and unclear ROI during evaluation.,Commercial,pricing_concerns,pricing,0.6
N00198,D00114,A00086,2025-05-15,Customer raised concerns that Adobe Express is already adopted by the team.,Competitive,competitor_switch,adobe express,0.6
N00199,D00114,A00086,2025-05-11,Prospect liked the product but said Adobe Express has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00200,D00114,A00086,2025-04-27,Prospect liked the product but said Adobe Express has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00201,D00115,A01500,2025-01-30,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N00202,D00116,A01831,2025-03-30,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00203,D00116,A01831,2025-04-02,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00204,D00116,A01831,2025-04-14,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N00205,D00117,A01815,2025-07-04,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00206,D00117,A01815,2025-06-06,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00207,D00118,A01348,2025-07-18,Deal slowed after prospect compared collaboration features with Canva.,Product,missing_features,feature,0.6
N00208,D00119,A01204,2025-10-24,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00209,D00120,A00516,2026-01-02,Customer raised concerns that Adobe Express is already adopted by the team.,Competitive,competitor_switch,adobe express,0.6
N00210,D00120,A00516,2026-01-01,Prospect liked the product but said Adobe Express has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00211,D00121,A01662,2026-01-16,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N00212,D00122,A00175,2025-12-10,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00213,D00122,A00175,2025-12-02,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00214,D00123,A00763,2025-07-01,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N00215,D00123,A00763,2025-06-05,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N00216,D00123,A00763,2025-07-01,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00217,D00124,A01045,2026-02-26,Deal slowed after prospect compared collaboration features with Figma.,Product,missing_features,feature,0.6
N00218,D00124,A01045,2026-03-04,Customer raised concerns that Figma is already adopted by the team.,Competitive,competitor_switch,figma,0.6
N00219,D00125,A00997,2025-02-02,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00220,D00125,A00997,2025-01-17,Team liked the ease of onboarding and quick time to value.,Operational,onboarding_confusion,"onboarding, time to value",0.7
N00221,D00126,A01976,2025-08-24,Prospect said onboarding seemed harder than expected for their team.,Operational,onboarding_confusion,onboarding,0.6
N00222,D00127,A01129,2026-02-26,Customer raised concerns that Figma is already adopted by the team.,Competitive,competitor_switch,figma,0.6
N00223,D00128,A00578,2026-02-23,Prospect liked the product but said Canva has stronger template variety.,Product,missing_templates,"template, variety",0.7
N00224,D00129,A01467,2026-04-03,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N00225,D00130,A01799,2026-01-16,Deal slowed after prospect compared collaboration features with Canva.,Product,missing_features,feature,0.6
N00226,D00131,A00049,2025-07-22,Deal slowed after prospect compared collaboration features with Canva.,Product,missing_features,feature,0.6
N00227,D00132,A00528,2025-07-10,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00228,D00132,A00528,2025-07-19,Customer responded well to collaboration features and ease of use.,Product,missing_features,feature,0.6
N00229,D00132,A00528,2025-07-15,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00230,D00133,A00145,2025-09-01,Customer raised concerns that Canva is already adopted by the team.,Competitive,competitor_switch,canva,0.6
N00231,D00134,A01364,2025-02-06,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
N00232,D00135,A00762,2025-08-11,Prospect liked the template library and fast export workflow.,Product,missing_templates,"library, template",0.7
N00233,D00135,A00762,2025-07-20,Buyer saw strong value in the AI-assisted design tools.,Uncategorized,unclear_signal,,0.25
