account_id,monthly_revenue,plan_type,region,industry,churn_probability,risk_tier,estimated_monthly_revenue_at_risk,risk_threshold_default
A01932,450,team,North America,ecommerce,0.2375403414214546,Low,106.89,0.5
A01808,450,team,North America,education,0.2374816404747727,Low,106.87,0.5
A00369,180,team,North America,marketing_agency,0.5918453343079799,High,106.53,0.5
A01700,300,team,North America,marketing_agency,0.3548215779236886,Medium,106.45,0.5
A00619,450,team,Europe,media,0.2353269998529712,Low,105.9,0.5
A00868,450,team,North America,ecommerce,0.2341061227938599,Low,105.35,0.5
A01532,450,team,Europe,media,0.2322019152534177,Low,104.49,0.5
A00639,450,team,North America,tech_startup,0.2316528042539698,Low,104.24,0.5
A00596,450,team,Latin America,tech_startup,0.2311581595182131,Low,104.02,0.5
A00383,180,team,North America,education,0.5725785997487074,High,103.06,0.5
A01628,240,team,North America,media,0.4289804264240851,Medium,102.96,0.5
A01389,180,team,Asia,real_estate,0.5711198673403931,High,102.8,0.5
A01712,450,team,North America,ecommerce,0.2271963313881796,Low,102.24,0.5
A00526,450,team,North America,education,0.2264296088459357,Low,101.89,0.5
A01111,240,team,North America,tech_startup,0.4214264587452914,Medium,101.14,0.5
A01146,450,team,Asia,marketing_agency,0.2243002951490593,Low,100.94,0.5
A00681,180,team,Asia,media,0.5575702565555387,High,100.36,0.5
A01398,300,team,North America,real_estate,0.3334807696788369,Medium,100.04,0.5
A01460,450,team,Europe,marketing_agency,0.2221415049849144,Low,99.96,0.5
A01380,450,team,North America,media,0.2202304693820428,Low,99.1,0.5
A00710,300,team,Asia,ecommerce,0.3275613843628971,Medium,98.27,0.5
A01919,180,team,Europe,education,0.5429461742221581,High,97.73,0.5
A01819,150,team,North America,ecommerce,0.6483884234883106,High,97.26,0.5
A01609,300,team,Asia,education,0.3212781271877408,Medium,96.38,0.5
A00981,240,team,Asia,marketing_agency,0.3998490428574118,Medium,95.96,0.5
A00925,180,team,Latin America,media,0.5312039665237156,High,95.62,0.5
A01604,180,team,North America,marketing_agency,0.5283258047466282,High,95.1,0.5
A01312,150,team,Asia,real_estate,0.6331305692496207,High,94.97,0.5
A00541,150,team,North America,real_estate,0.6321390264767962,High,94.82,0.5
A00972,450,team,Latin America,tech_startup,0.2102964686222413,Low,94.63,0.5
A01660,240,team,North America,real_estate,0.3920327278327389,Medium,94.09,0.5
A01088,300,team,Asia,real_estate,0.3112948962838784,Medium,93.39,0.5
A01448,450,team,North America,ecommerce,0.2075315113125599,Low,93.39,0.5
A00218,300,team,North America,tech_startup,0.310032390848813,Medium,93.01,0.5
A01795,450,team,North America,media,0.2059612361214972,Low,92.68,0.5
A01082,450,team,North America,tech_startup,0.2045457716680656,Low,92.05,0.5
A00263,450,team,Asia,ecommerce,0.2030320132719633,Low,91.36,0.5
A00029,450,team,Europe,tech_startup,0.1994626030600107,Low,89.76,0.5
A01028,450,team,Europe,real_estate,0.1987094795271132,Low,89.42,0.5
A00604,150,team,Europe,ecommerce,0.5924824981482577,High,88.87,0.5
A01690,240,team,Latin America,real_estate,0.369757916792121,Medium,88.74,0.5
A00877,450,team,Latin America,real_estate,0.1963790578668247,Low,88.37,0.5
A00243,150,team,Europe,education,0.5885850885249243,High,88.29,0.5
A00723,300,team,North America,tech_startup,0.2929502917512107,Medium,87.89,0.5
A01015,300,team,Asia,ecommerce,0.2900395463192647,Medium,87.01,0.5
A01969,300,team,Europe,tech_startup,0.2890423324649562,Medium,86.71,0.5
A00250,450,team,Latin America,ecommerce,0.1918862467562084,Low,86.35,0.5
A00199,150,team,North America,real_estate,0.573072815375536,High,85.96,0.5
A00790,300,team,Asia,ecommerce,0.2863636800606663,Medium,85.91,0.5
A01131,300,team,Asia,real_estate,0.285244205060213,Medium,85.57,0.5
A00688,450,team,North America,real_estate,0.1900455826767019,Low,85.52,0.5
A01840,240,team,North America,tech_startup,0.3560810883571889,Medium,85.46,0.5
A00440,450,team,North America,education,0.1887940595349294,Low,84.96,0.5
A01189,120,team,Asia,education,0.7003231484455236,High,84.04,0.5
A01436,300,team,Asia,real_estate,0.2799141802596775,Medium,83.97,0.5
A00291,300,team,North America,ecommerce,0.2781962037832926,Medium,83.46,0.5
A01475,450,team,Latin America,marketing_agency,0.1849978175745334,Low,83.25,0.5
A01554,120,team,Asia,marketing_agency,0.6908307013139775,High,82.9,0.5
A01163,300,team,North America,ecommerce,0.2760344503351408,Medium,82.81,0.5
A01778,300,team,Asia,marketing_agency,0.2741039979690653,Medium,82.23,0.5
A01494,300,team,North America,tech_startup,0.2694165167861541,Medium,80.82,0.5
A00254,300,team,Asia,ecommerce,0.2686255929785506,Medium,80.59,0.5
A01178,240,team,North America,real_estate,0.3341282245373298,Medium,80.19,0.5
A01847,120,team,North America,marketing_agency,0.6646145111437495,High,79.75,0.5
A01653,300,team,Asia,marketing_agency,0.2651034711500777,Medium,79.53,0.5
A00288,300,team,Asia,tech_startup,0.2647296188883404,Medium,79.42,0.5
A01962,450,team,Asia,real_estate,0.1754587993365099,Low,78.96,0.5
A00463,450,team,North America,real_estate,0.1729570926137247,Low,77.83,0.5
A00858,300,team,Europe,real_estate,0.2585237406055187,Medium,77.56,0.5
A00095,240,team,Asia,ecommerce,0.3226982939003371,Medium,77.45,0.5
A00405,300,team,Europe,media,0.2581699101899954,Medium,77.45,0.5
A01078,180,team,North America,media,0.4287661667548226,Medium,77.18,0.5
A01775,300,team,North America,ecommerce,0.2539167825659246,Medium,76.18,0.5
A00296,240,team,Europe,marketing_agency,0.3166985508530028,Medium,76.01,0.5
A00189,120,team,North America,marketing_agency,0.6302027179346135,High,75.62,0.5
A00233,120,team,North America,marketing_agency,0.6278523570914467,High,75.34,0.5
A01817,240,team,North America,ecommerce,0.3135867198319738,Medium,75.26,0.5
A01010,450,team,Europe,media,0.1671686350688884,Low,75.23,0.5
A01462,450,team,North America,marketing_agency,0.1665398824456478,Low,74.94,0.5
A00210,240,team,Europe,marketing_agency,0.3107334931974534,Medium,74.58,0.5
A00966,450,team,North America,real_estate,0.1648820825814619,Low,74.2,0.5
A00870,240,team,Europe,education,0.3090891295394626,Medium,74.18,0.5
A00581,300,team,Europe,media,0.2459968062399895,Low,73.8,0.5
A01491,120,team,North America,tech_startup,0.6139144973148298,High,73.67,0.5
A00027,300,team,North America,marketing_agency,0.2455506885217899,Low,73.67,0.5
A01836,300,team,Europe,marketing_agency,0.2447784931265052,Low,73.43,0.5
A00694,300,team,Europe,education,0.2442976937997893,Low,73.29,0.5
A00134,240,team,Asia,real_estate,0.3049844793730202,Medium,73.2,0.5
A01198,120,team,North America,marketing_agency,0.6084199490546719,High,73.01,0.5
A00775,180,team,North America,ecommerce,0.4022418848059098,Medium,72.4,0.5
A01037,180,team,North America,real_estate,0.3989731510747445,Medium,71.82,0.5
A01365,120,team,Latin America,marketing_agency,0.5942459721379026,High,71.31,0.5
A01298,240,team,North America,marketing_agency,0.2966784210082798,Medium,71.2,0.5
A00842,300,team,North America,real_estate,0.2363099155983268,Low,70.89,0.5
A01268,450,team,Europe,ecommerce,0.1568102407567012,Low,70.56,0.5
A01600,150,team,North America,marketing_agency,0.4695739804383804,Medium,70.44,0.5
A00945,240,team,Europe,real_estate,0.2932006634705427,Medium,70.37,0.5
A00419,300,team,Asia,tech_startup,0.2335976077244578,Low,70.08,0.5
A01657,180,team,Asia,ecommerce,0.3848724839392446,Medium,69.28,0.5
A00344,240,team,North America,education,0.2880871843310704,Medium,69.14,0.5
A01722,300,team,North America,tech_startup,0.2303814621150217,Low,69.11,0.5
A00264,300,team,Latin America,media,0.2299350854189083,Low,68.98,0.5
A01234,300,team,Europe,education,0.2291608293741316,Low,68.75,0.5
A00362,450,team,Europe,ecommerce,0.1512402425376916,Low,68.06,0.5
A01504,240,team,Europe,education,0.2830532364092423,Medium,67.93,0.5
A01765,180,team,Asia,marketing_agency,0.3768759390984185,Medium,67.84,0.5
A01366,180,team,North America,marketing_agency,0.3753156384752847,Medium,67.56,0.5
A01404,240,team,North America,marketing_agency,0.2814935069489972,Medium,67.56,0.5
A00559,300,team,Europe,tech_startup,0.2229710282665288,Low,66.89,0.5
A00820,240,team,North America,education,0.2779406510370198,Medium,66.71,0.5
A00862,240,team,Asia,real_estate,0.2756767819346076,Medium,66.16,0.5
A00429,150,team,North America,education,0.4397749994417314,Medium,65.97,0.5
A01317,240,team,North America,education,0.2744206068297443,Medium,65.86,0.5
A01077,300,team,Europe,ecommerce,0.2181076691561878,Low,65.43,0.5
A00206,240,team,North America,ecommerce,0.2678260600209249,Medium,64.28,0.5
A01995,300,team,Asia,media,0.2140236296051831,Low,64.21,0.5
A01947,240,team,North America,education,0.2673008202799403,Medium,64.15,0.5
A01243,300,team,Europe,education,0.2133014411729211,Low,63.99,0.5
A00340,300,team,North America,education,0.2129388986913197,Low,63.88,0.5
A00132,450,team,North America,education,0.141160591360695,Low,63.52,0.5
A00755,90,team,North America,marketing_agency,0.7022208096127681,High,63.2,0.5
A00443,150,team,Europe,marketing_agency,0.4204844270296955,Medium,63.07,0.5
A01118,300,team,Latin America,tech_startup,0.2098735594247669,Low,62.96,0.5
A00821,150,team,Asia,ecommerce,0.4194859485425962,Medium,62.92,0.5
A01747,450,team,North America,marketing_agency,0.1383085731242523,Low,62.24,0.5
A01157,240,team,North America,media,0.2592968527912125,Medium,62.23,0.5
A00063,300,team,North America,tech_startup,0.2072653622151463,Low,62.18,0.5
A00286,300,team,Europe,marketing_agency,0.2068075943781812,Low,62.04,0.5
A00266,240,team,Asia,tech_startup,0.2580330001066473,Medium,61.93,0.5
A00049,300,team,North America,real_estate,0.2064496973800956,Low,61.93,0.5
A01698,450,team,Asia,real_estate,0.1368856223733671,Low,61.6,0.5
A00341,300,team,Europe,ecommerce,0.2052148529406998,Low,61.56,0.5
A01713,150,team,North America,ecommerce,0.4091059736865737,Medium,61.37,0.5
A00512,450,team,North America,media,0.1360352974191401,Low,61.22,0.5
A01017,300,team,North America,ecommerce,0.2027368985294816,Low,60.82,0.5
A01869,300,team,North America,education,0.2025758160186964,Low,60.77,0.5
A01571,450,team,Asia,real_estate,0.1348200388246893,Low,60.67,0.5
A00815,150,team,North America,ecommerce,0.403898391292199,Medium,60.58,0.5
A01392,300,team,Europe,ecommerce,0.2017106470024864,Low,60.51,0.5
A00507,150,team,Asia,marketing_agency,0.4008117576532624,Medium,60.12,0.5
A01274,300,team,North America,ecommerce,0.2000216265377535,Low,60.01,0.5
A00749,120,team,North America,marketing_agency,0.4990261921352483,Medium,59.88,0.5
A01321,300,team,North America,education,0.1977257597322317,Low,59.32,0.5
A00023,180,team,North America,education,0.3289226672159695,Medium,59.21,0.5
A00982,240,team,Europe,ecommerce,0.246285142256116,Low,59.11,0.5
A00088,150,team,Europe,real_estate,0.3927348391611253,Medium,58.91,0.5
A00823,300,team,North America,ecommerce,0.1949807953794498,Low,58.49,0.5
A00745,180,team,Asia,ecommerce,0.3245135445346413,Medium,58.41,0.5
A01579,120,team,North America,marketing_agency,0.4857948630654376,Medium,58.3,0.5
A00171,180,team,North America,marketing_agency,0.3234581272693752,Medium,58.22,0.5
A01921,180,team,Europe,education,0.322914058357903,Medium,58.12,0.5
A00281,240,team,Asia,tech_startup,0.2421851321014741,Low,58.12,0.5
A00271,150,team,North America,ecommerce,0.3857491852427737,Medium,57.86,0.5
A00660,300,team,Latin America,media,0.1921484720461928,Low,57.64,0.5
A00561,150,team,Europe,ecommerce,0.3839402707171917,Medium,57.59,0.5
A00464,300,team,Latin America,tech_startup,0.1919254127742739,Low,57.58,0.5
A01470,240,team,North America,media,0.2384245427046092,Low,57.22,0.5
A00504,240,team,Europe,ecommerce,0.2362259784554144,Low,56.69,0.5
A01480,300,team,North America,media,0.1883349221720448,Low,56.5,0.5
A01456,240,team,Asia,education,0.2342066636749326,Low,56.21,0.5
A00136,450,team,North America,real_estate,0.1246914006032211,Low,56.11,0.5
A00869,90,team,Asia,media,0.6225284209516211,High,56.03,0.5
A01381,300,team,Europe,real_estate,0.1866377539623143,Low,55.99,0.5
A00530,120,team,North America,real_estate,0.4655697873678975,Medium,55.87,0.5
A00717,150,team,Europe,real_estate,0.3724490957398389,Medium,55.87,0.5
A00104,180,team,Europe,real_estate,0.3103399498374832,Medium,55.86,0.5
A00390,90,team,Asia,marketing_agency,0.6181108106281891,High,55.63,0.5
A01789,240,team,North America,tech_startup,0.2313375332727579,Low,55.52,0.5
A01974,180,team,Europe,education,0.307841702451906,Medium,55.41,0.5
A01839,90,team,North America,real_estate,0.6147694031847657,High,55.33,0.5
A00946,120,team,North America,marketing_agency,0.4609706317736004,Medium,55.32,0.5
A01030,300,team,North America,marketing_agency,0.1843059017434555,Low,55.29,0.5
A00628,240,team,North America,tech_startup,0.2294419919484491,Low,55.07,0.5
A01186,90,team,North America,ecommerce,0.6117734530719356,High,55.06,0.5
A00927,180,team,Asia,tech_startup,0.3056070469446728,Medium,55.01,0.5
A00426,300,team,North America,education,0.1833800094251883,Low,55.01,0.5
A00577,450,team,North America,marketing_agency,0.1222226940776965,Low,55.0,0.5
A01878,150,team,Asia,tech_startup,0.3666055168016536,Medium,54.99,0.5
A00480,180,team,North America,real_estate,0.3046057510485025,Medium,54.83,0.5
A00742,300,team,Asia,media,0.1824300699074403,Low,54.73,0.5
A00830,90,team,Asia,ecommerce,0.607034546911677,High,54.63,0.5
A00387,240,team,Asia,education,0.2274570922525192,Low,54.59,0.5
A00576,240,team,Europe,real_estate,0.2271945558774633,Low,54.53,0.5
A00875,180,team,North America,tech_startup,0.30234712491997,Medium,54.42,0.5
A01731,300,team,North America,ecommerce,0.1812065734960706,Low,54.36,0.5
A01459,180,team,Asia,education,0.301445222117926,Medium,54.26,0.5
A00357,300,team,North America,tech_startup,0.1807392259105216,Low,54.22,0.5
A00947,450,team,Europe,ecommerce,0.1203953025045605,Low,54.18,0.5
A00548,150,team,North America,media,0.361114188553894,Medium,54.17,0.5
A00306,450,team,North America,ecommerce,0.1203614204813228,Low,54.16,0.5
A01156,240,team,North America,media,0.2246936741600071,Low,53.93,0.5
A00819,120,team,Asia,education,0.4492085242215552,Medium,53.91,0.5
A01013,300,team,Latin America,ecommerce,0.1794545663281816,Low,53.84,0.5
A00894,300,team,Asia,tech_startup,0.178843476779479,Low,53.65,0.5
A00417,240,team,North America,tech_startup,0.2232375437096515,Low,53.58,0.5
A01086,150,team,Asia,ecommerce,0.356454546087104,Medium,53.47,0.5
A00128,240,team,Europe,media,0.2213102461169307,Low,53.11,0.5
A01725,300,team,North America,ecommerce,0.1766643203490847,Low,53.0,0.5
A01068,180,team,Europe,tech_startup,0.2937528780809696,Medium,52.88,0.5
A00531,300,team,Latin America,education,0.176279787475978,Low,52.88,0.5
A01510,90,team,North America,tech_startup,0.5860133528442013,High,52.74,0.5
A01302,240,team,Asia,marketing_agency,0.2196817088969856,Low,52.72,0.5
A00475,120,team,North America,ecommerce,0.4380342625055254,Medium,52.56,0.5
A01728,240,team,North America,education,0.2187621703220516,Low,52.5,0.5
A00252,240,team,Europe,real_estate,0.2182037810110619,Low,52.37,0.5
A00665,300,team,North America,tech_startup,0.1745747789627253,Low,52.37,0.5
A00444,180,team,Asia,tech_startup,0.2894688020777902,Medium,52.1,0.5
A01449,450,team,Europe,tech_startup,0.1155737643689336,Low,52.01,0.5
A01818,120,team,North America,marketing_agency,0.4326415402839922,Medium,51.92,0.5
A00587,240,team,Europe,media,0.2160296895099361,Low,51.85,0.5
A01606,240,team,North America,education,0.21508701645604,Low,51.62,0.5
A01231,450,team,Europe,media,0.1145208603143884,Low,51.53,0.5
A00783,180,team,Asia,tech_startup,0.2862186980794249,Medium,51.52,0.5
A01099,150,team,Latin America,ecommerce,0.3430925572543894,Medium,51.46,0.5
A00959,300,team,Europe,marketing_agency,0.1713105532916036,Low,51.39,0.5
A00138,150,team,Europe,media,0.3416201965348634,Medium,51.24,0.5
A00070,150,team,Asia,real_estate,0.3402948450885744,Medium,51.04,0.5
A00622,150,team,Europe,tech_startup,0.3386386778819106,Medium,50.8,0.5
A00181,180,team,North America,ecommerce,0.2815701922810613,Medium,50.68,0.5
A00906,120,team,North America,marketing_agency,0.4220660501738495,Medium,50.65,0.5
A00547,120,team,Asia,tech_startup,0.4219271744836341,Medium,50.63,0.5
A00850,300,team,North America,tech_startup,0.1685900343424713,Low,50.58,0.5
A00318,150,team,Europe,marketing_agency,0.3344483334988061,Medium,50.17,0.5
A01329,180,team,Europe,tech_startup,0.2785766959682684,Medium,50.14,0.5
A01781,180,team,Europe,ecommerce,0.2782760865622613,Medium,50.09,0.5
A01379,240,team,North America,media,0.2086724543342675,Low,50.08,0.5
A00364,300,team,North America,real_estate,0.1665825735847226,Low,49.97,0.5
A01065,180,team,North America,education,0.2767602484306391,Medium,49.82,0.5
A00100,180,team,Asia,education,0.2767212637215926,Medium,49.81,0.5
A00030,180,team,Asia,ecommerce,0.2760959644115704,Medium,49.7,0.5
A00835,240,team,Europe,media,0.2065042175181539,Low,49.56,0.5
A01513,180,team,Europe,tech_startup,0.2740482396704558,Medium,49.33,0.5
A01991,240,team,North America,marketing_agency,0.2052983245721963,Low,49.27,0.5
A01906,180,team,North America,real_estate,0.2734861279315299,Medium,49.23,0.5
A01286,150,team,Europe,ecommerce,0.326659296041833,Medium,49.0,0.5
A00273,300,team,Latin America,marketing_agency,0.1631849219741513,Low,48.96,0.5
A01368,450,team,Europe,marketing_agency,0.1081812476111953,Low,48.68,0.5
A01428,150,team,North America,tech_startup,0.3225798343630324,Medium,48.39,0.5
A01252,180,team,Asia,ecommerce,0.2684408291948981,Medium,48.32,0.5
A01950,180,team,North America,ecommerce,0.2680220449609662,Medium,48.24,0.5
A01893,240,team,North America,ecommerce,0.2007646985397688,Low,48.18,0.5
A01023,180,team,Asia,ecommerce,0.2667148702103517,Medium,48.01,0.5
A00958,240,team,North America,marketing_agency,0.1996933791342509,Low,47.93,0.5
A01766,240,team,Europe,education,0.1993015280438674,Low,47.83,0.5
A01523,150,team,North America,ecommerce,0.3166023355288017,Medium,47.49,0.5
A00200,300,team,Europe,real_estate,0.1578377477254719,Low,47.35,0.5
A00926,120,team,North America,media,0.3939418411885354,Medium,47.27,0.5
A00434,120,team,North America,education,0.391847360155166,Medium,47.02,0.5
A01661,150,team,Europe,media,0.3129327845118543,Medium,46.94,0.5
A01908,240,team,Europe,media,0.1956016671102505,Low,46.94,0.5
A01266,180,team,Europe,tech_startup,0.2606593595569581,Medium,46.92,0.5
A00451,300,team,North America,media,0.1561124286603968,Low,46.83,0.5
A01645,240,team,North America,marketing_agency,0.1950471195273088,Low,46.81,0.5
A00474,180,team,Europe,ecommerce,0.2564752122315226,Medium,46.17,0.5
A00397,180,team,Europe,ecommerce,0.2558404628399411,Medium,46.05,0.5
A00489,150,team,Latin America,media,0.3051190510680703,Medium,45.77,0.5
A01779,150,team,Europe,ecommerce,0.3044939365357886,Medium,45.67,0.5
A00068,120,team,Asia,marketing_agency,0.3799188378235306,Medium,45.59,0.5
A01044,120,team,Asia,education,0.3768509478317275,Medium,45.22,0.5
A00989,240,team,North America,ecommerce,0.1878120776743845,Low,45.07,0.5
A00074,180,team,North America,marketing_agency,0.250030283246799,Medium,45.01,0.5
A01235,240,team,Asia,real_estate,0.1863340412190905,Low,44.72,0.5
A01926,240,team,Europe,media,0.1862406975337703,Low,44.7,0.5
A01618,180,team,Europe,media,0.2477322400870347,Low,44.59,0.5
A00645,240,team,North America,real_estate,0.1856811958424514,Low,44.56,0.5
A00801,150,team,North America,education,0.2954224491991646,Medium,44.31,0.5
A01901,120,team,Europe,ecommerce,0.3682625151833559,Medium,44.19,0.5
A01663,120,team,North America,tech_startup,0.367422111919118,Medium,44.09,0.5
A01169,120,team,North America,ecommerce,0.3665665194387376,Medium,43.99,0.5
A00061,300,team,Latin America,tech_startup,0.1465148145504948,Low,43.95,0.5
A00484,90,team,Europe,real_estate,0.4874510120693038,Medium,43.87,0.5
A00616,240,team,Europe,tech_startup,0.1824628578269304,Low,43.79,0.5
A01326,150,team,Asia,ecommerce,0.2912942341720324,Medium,43.69,0.5
A01595,150,team,Latin America,tech_startup,0.2904371596800972,Medium,43.57,0.5
A00800,180,team,North America,tech_startup,0.2419276359145217,Low,43.55,0.5
A00857,450,team,Europe,real_estate,0.0964038366748473,Low,43.38,0.5
A01132,180,team,Asia,education,0.2402108254925326,Low,43.24,0.5
A01229,120,team,North America,ecommerce,0.3601920225591943,Medium,43.22,0.5
A01806,240,team,North America,marketing_agency,0.1794974246556638,Low,43.08,0.5
A00432,120,team,Europe,ecommerce,0.3566532355271373,Medium,42.8,0.5
A01486,90,team,North America,marketing_agency,0.4746495079328016,Medium,42.72,0.5
A00765,120,team,North America,ecommerce,0.3558824145012915,Medium,42.71,0.5
A00352,150,team,Asia,education,0.2844442434593969,Medium,42.67,0.5
A00238,240,team,Europe,real_estate,0.1778111779679007,Low,42.67,0.5
A01299,150,team,North America,tech_startup,0.283621227109711,Medium,42.54,0.5
A00643,240,team,North America,tech_startup,0.1755838102516198,Low,42.14,0.5
A00112,240,team,Latin America,tech_startup,0.1754447623652974,Low,42.11,0.5
A01526,120,team,North America,media,0.3507768288049032,Medium,42.09,0.5
A00825,120,team,North America,ecommerce,0.3507264717384788,Medium,42.09,0.5
A01811,450,team,North America,tech_startup,0.0933446809976551,Low,42.01,0.5
A01667,450,team,North America,media,0.0932667992312612,Low,41.97,0.5
A00188,300,team,North America,real_estate,0.1395792318160329,Low,41.87,0.5
A00611,120,team,Asia,real_estate,0.3488557083268173,Medium,41.86,0.5
A01573,300,team,North America,education,0.1391004553258583,Low,41.73,0.5
A00896,90,team,North America,tech_startup,0.4627822154058912,Medium,41.65,0.5
A00144,90,team,Asia,real_estate,0.4624676778513359,Medium,41.62,0.5
A01328,240,team,North America,tech_startup,0.172919958844656,Low,41.5,0.5
A01960,120,team,North America,media,0.3448936748562453,Medium,41.39,0.5
A01202,180,team,North America,real_estate,0.2297973242064504,Low,41.36,0.5
A00609,180,team,Latin America,marketing_agency,0.2290481099386483,Low,41.23,0.5
A00562,180,team,North America,education,0.2287341045043394,Low,41.17,0.5
A00649,120,team,North America,education,0.3427678640887365,Medium,41.13,0.5
A01311,300,team,Europe,education,0.1366732064015979,Low,41.0,0.5
A01296,120,team,North America,tech_startup,0.3413486887829745,Medium,40.96,0.5
A00656,150,team,North America,tech_startup,0.2717119454562123,Medium,40.76,0.5
A00099,120,team,North America,media,0.3384702311124838,Medium,40.62,0.5
A01166,150,team,Europe,real_estate,0.2692262189396852,Medium,40.38,0.5
A01464,240,team,North America,tech_startup,0.1680351269152913,Low,40.33,0.5
A00410,150,team,Latin America,ecommerce,0.2679640271135649,Medium,40.19,0.5
A01757,150,team,North America,education,0.2669998809819489,Medium,40.05,0.5
A00632,180,team,North America,marketing_agency,0.2202313994188536,Low,39.64,0.5
A00552,120,team,North America,tech_startup,0.3299342854997505,Medium,39.59,0.5
A01976,60,team,North America,marketing_agency,0.6581711574904325,High,39.49,0.5
A00445,120,team,North America,education,0.3276271146858061,Medium,39.32,0.5
A01710,150,team,North America,real_estate,0.2616214119189245,Medium,39.24,0.5
A00013,150,team,Latin America,ecommerce,0.2613979251143249,Medium,39.21,0.5
A01562,90,team,North America,real_estate,0.4340543972985013,Medium,39.06,0.5
A01558,60,team,Europe,marketing_agency,0.6469634078864286,High,38.82,0.5
A01841,120,team,Europe,education,0.3234168677075479,Medium,38.81,0.5
A00289,150,team,Europe,media,0.2585208575681303,Medium,38.78,0.5
A00523,180,team,Asia,marketing_agency,0.2147712312192137,Low,38.66,0.5
A00363,180,team,Europe,media,0.2146940090118855,Low,38.64,0.5
A00256,120,team,Latin America,marketing_agency,0.3218189962439882,Medium,38.62,0.5
A01685,450,team,North America,ecommerce,0.084548632043717,Low,38.05,0.5
A00768,48,pro,Asia,media,0.7904904890609744,Critical,37.94,0.5
A00508,48,pro,North America,real_estate,0.7900265343892489,Critical,37.92,0.5
A01011,180,team,Europe,marketing_agency,0.2101491789567701,Low,37.83,0.5
A01633,120,team,Europe,tech_startup,0.3148049508518452,Medium,37.78,0.5
A01295,180,team,Europe,ecommerce,0.2086250092589344,Low,37.55,0.5
A00607,48,pro,North America,tech_startup,0.7799739738599503,Critical,37.44,0.5
A00375,120,team,North America,education,0.3098019227621821,Medium,37.18,0.5
A01536,120,team,North America,marketing_agency,0.308561258127766,Medium,37.03,0.5
A00368,180,team,Europe,media,0.2055214256944008,Low,36.99,0.5
A00675,90,team,Asia,marketing_agency,0.4103338201892726,Medium,36.93,0.5
